delta_mass_r2	counts	scans	cluster	precmz	name	delta_mass	delta_MF_final	delta_MF_unique_combination	mass_defect	scaled_counts
295.12	32	30714	32810	457.23505	"Candidate Carnitine (delta mass 295.1226; literature atomic difference: 15C, 21H, 1N, 3O, 1S)"	295.1226	C15H21NO3S	CHNOS	0.000262447	24.3344014
295.13	46	30717	32813	457.23773	"Candidate Carnitine (delta mass 295.1252; literature atomic difference: 15C, 21H, 1N, 3O, 1S)"	295.1252	C15H21NO3S	CHNOS	0.000284316	26.291873
308.31	4	31248	33421	470.4198	"Candidate Carnitine (delta mass 308.3073; sirius atomic difference: 17C, 32H, 6B, -1O, 1Si; literature atomic difference: 21C, 40H, 1O)"	308.3073	C17H32B6O-1Si	unclassified	0.000658986	20.4194582
310.23	6	31289	33469	472.3396	"Candidate Carnitine (delta mass 310.2271; sirius atomic difference: 17C, 30H, 2N, 3O; literature atomic difference: 22C, 30H, 1O)"	310.2271	C17H30N2O3	CHNO	0.000486938	20.699097
311.11	3	31442	33632	473.22437	"Candidate Carnitine (delta mass 311.1119; sirius atomic difference: 18C, 17H, 1N, 4O; literature atomic difference: 15C, 21H, 1N, 4O, 1S)"	311.1119	C18H17NO4	CHNO	0.000232448	20.2796388
311.12	391	31443	33633	473.23315	"Candidate Carnitine (delta mass 311.1206; literature atomic difference: 15C, 21H, 1N, 4O, 1S)"	311.1206	C15H21NO4S	CHNOS	0.000253575	74.52956598
313.13	1080	31544	33753	475.2384	"Candidate Carnitine (delta mass 313.1259; literature atomic difference: 15C, 23H, 1N, 4O, 1S)"	313.1259	C15H23NO4S	CHNOS	0.000273547	170.8651325
313.14	39	31559	33768	475.24878	"Candidate Carnitine (delta mass 313.1363; literature atomic difference: 15C, 23H, 1N, 4O, 1S)"	313.1363	C15H23NO4S	CHNOS	0.000294583	25.3131372
314.14	9	31585	33798	476.25061	"Candidate Carnitine (delta mass 314.1381; sirius atomic difference: 16C, 18H, 4N, 3O; literature atomic difference: 15C, 22H, 7O)"	314.1381	C16H18N4O3	CHNO	0.000293963	21.1185552
315.15	99	31679	33893	477.26001	"Candidate Carnitine (delta mass 315.1475; sirius atomic difference: 18C, 21H, 1N, 4O; literature atomic difference: 15C, 25H, 1N, 4O, 1S)"	315.1475	C18H21NO4	CHNO	0.000314294	33.70230119
317.13	54	31703	33924	479.24423	"Candidate Carnitine (delta mass 317.1317; literature atomic difference: 14C, 23H, 1N, 5O, 1S)"	317.1317	C14H23NO5S	CHNOS	0.00027126	27.4104282
319.15	66	31771	34035	481.25757	"Candidate Carnitine (delta mass 319.1451; literature atomic difference: 14C, 25H, 1N, 5O, 1S)"	319.1451	C14H25NO5S	CHNOS	0.000311683	29.088261
322.32	23	31875	34158	484.43713	"Candidate Carnitine (delta mass 322.3246; sirius atomic difference: 17C, 38H, 8N, -2O; literature atomic difference: 22C, 42H, 1O)"	322.3246	C17H38N8O-2	CHNO	0.00066056	23.0760268
325.17	63	31943	34232	487.28418	"Candidate Carnitine (delta mass 325.1717; sirius atomic difference: 20C, 23H, 1N, 3O; literature atomic difference: 17C, 27H, 1N, 3O, 1S)"	325.1717	C20H23NO3	CHNO	0.000348872	28.6688028
329.13	30	32094	34409	491.24115	"Candidate Carnitine (delta mass 329.1286; literature atomic difference: 15C, 23H, 1N, 5O, 1S)"	329.1286	C15H23NO5S	CHNOS	0.000264636	24.0547626
338.32	2	32323	34675	500.43091	"Candidate Carnitine (delta mass 338.3184; sirius atomic difference: 18C, 34H, 6B, 1Si; literature atomic difference: 22C, 42H, 2O)"	338.3184	C18H34B6Si	unclassified	0.000639449	20.1398194
341.16	7	32343	34706	503.27737	"Candidate Carnitine (delta mass 341.1649; literature atomic difference: 17C, 27H, 1N, 4O, 1S)"	341.1649	C17H27NO4S	CHNOS	0.000317916	20.8389164
341.17	261	32344	34707	503.27859	"Candidate Carnitine (delta mass 341.1661; literature atomic difference: 17C, 27H, 1N, 4O, 1S)"	341.1661	C17H27NO4S	CHNOS	0.000337785	56.35304398
343.18	314	32386	34755	505.28897	"Candidate Carnitine (delta mass 343.1765; literature atomic difference: 17C, 29H, 1N, 4O, 1S)"	343.1765	C17H29NO4S	CHNOS	0.000356232	63.76347218
349.17	1559	32565	35012	511.28366	"Candidate Carnitine (delta mass 349.1712; literature atomic difference: 19C, 27H, 1N, 3O, 1S)"	349.1712	C19H27NO3S	CHNOS	0.000332496	237.8386251
349.18	2	32713	35160	511.28925	"Candidate Carnitine (delta mass 349.1767; literature atomic difference: 19C, 27H, 1N, 3O, 1S)"	349.1767	C19H27NO3S	CHNOS	0.000352051	20.1398194
351.18	9	32761	35219	513.29175	"Candidate Carnitine (delta mass 351.1792; literature atomic difference: 19C, 29H, 1N, 3O, 1S)"	351.1792	C19H29NO3S	CHNOS	0.000350678	21.1185552
351.19	2343	32762	35220	513.29913	"Candidate Carnitine (delta mass 351.1866; literature atomic difference: 19C, 29H, 1N, 3O, 1S)"	351.1866	C19H29NO3S	CHNOS	0.000370155	347.4570347
367.18	549	33000	35510	529.29486	"Candidate Carnitine (delta mass 367.1824; literature atomic difference: 19C, 29H, 1N, 4O, 1S)"	367.1824	C19H29NO4S	CHNOS	0.000340075	96.62103117
391.17	1	33303	35904	553.28735	"Candidate Carnitine (delta mass 391.1748; literature atomic difference: 21C, 29H, 1N, 4O, 1S)"	391.1748	C21H29NO4S	CHNOS	0.000307254	20
391.18	2441	33300	35901	553.29651	"Candidate Carnitine (delta mass 391.184; literature atomic difference: 21C, 29H, 1N, 4O, 1S)"	391.184	C21H29NO4S	CHNOS	0.000325323	361.1593359
391.19	7	33389	35990	553.29999	"Candidate Carnitine (delta mass 391.1875; literature atomic difference: 21C, 29H, 1N, 4O, 1S)"	391.1875	C21H29NO4S	CHNOS	0.000343394	20.8389164
393.19	70	33402	36011	555.30414	"Candidate Carnitine (delta mass 393.1916; literature atomic difference: 21C, 31H, 1N, 4O, 1S)"	393.1916	C21H31NO4S	CHNOS	0.000342155	29.6475386
393.2	3434	33403	36012	555.3092	"Candidate Carnitine (delta mass 393.1967; literature atomic difference: 21C, 31H, 1N, 4O, 1S)"	393.1967	C21H31NO4S	CHNOS	0.00036016	500
395.21	149	33580	36198	557.32001	"Candidate Carnitine (delta mass 395.2075; sirius atomic difference: 24C, 29H, 1N, 4O; literature atomic difference: 21C, 33H, 1N, 4O, 1S)"	395.2075	C24H29NO4	CHNO	0.000376803	40.69327119
395.22	117	33578	36196	557.33002	"Candidate Carnitine (delta mass 395.2175; literature atomic difference: 21C, 33H, 1N, 4O, 1S)"	395.2175	C21H33NO4S	CHNOS	0.000394739	36.21905039
398.19	44	33631	36258	560.3067	"Candidate Carnitine (delta mass 398.1942; sirius atomic difference: 21C, 26H, 4N, 4O; literature atomic difference: 20C, 30H, 8O)"	398.1942	C21H26N4O4	CHNO	0.0003391	26.0122342
400.21	16	33640	36280	562.32141	"Candidate Carnitine (delta mass 400.2089; sirius atomic difference: 21C, 28H, 4N, 4O; literature atomic difference: 20C, 32H, 8O)"	400.2089	C21H28N4O4	CHNO	0.000373452	22.097291
