formula_reported	exact_mass_reported	delta_mass_r2_reported	source_reported	mass_defect_reported
C6H17N	103.1361	-58.98	chebi	0.0001939185212549
C6H17N	103.1361	-58.97	chebi	0.0002908777818823
C7H16NO2	146.1181	-16.0	zhang	0.0
C7H16NO2	146.1181	-15.99	zhang	6.84377910744787e-05
C7H14NO3	160.09737	-2.02	hmdb, zhang	-0.0001249239759528
C7H14NO3	160.09737	-2.01	hmdb, zhang	-6.246198797644075e-05
C7H16NO3	162.11302	0.0	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0
C9H18NO4	204.12358	42.01	hmdb, lipidmaps, pubchem, stein, zhang, emily	4.8989930511693015e-05
C10H18NO4	216.12358	54.01	chebi, hmdb, lipidmaps, pubchem, zhang	4.626982395904237e-05
C10H20NO4	218.13923	56.02	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	9.168456311138132e-05
C10H20NO4	218.13923	56.03	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.000137526844667
C9H18NO5	220.1185	58.0	pubchem	0.0
C9H18NO5	220.1185	58.01	pubchem	4.543007516405032e-05
C11H20NO4	230.13923	68.02	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	8.690391464330537e-05
C11H20NO4	230.13923	68.03	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001303558719649
C11H22NO4	232.15488	70.04	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001722987688219
C11H22NO4	232.15488	70.05	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002153734610273
C10H20NO5	234.13415	72.02	chebi, hmdb, lipidmaps, pubchem, zhang	8.542111434831706e-05
C10H20NO5	234.13415	72.03	chebi, hmdb, lipidmaps, pubchem, zhang	0.0001281316715225
C12H20NO4	242.13923	80.02	pubchem, zhang	8.259710745754012e-05
C12H20NO4	242.13923	80.03	pubchem, zhang	0.0001238956611863
C12H22NO4	244.15488	82.04	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001638304341899
C12H22NO4	244.15488	82.05	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002047880427374
C11H20NO5	246.13415	84.02	pubchem	8.125650178975986e-05
C11H20NO5	246.13415	84.03	pubchem	0.0001218847526846
C12H24NO4	246.17053	84.05	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002031112335014
C12H24NO4	246.17053	84.06	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002437334802017
C11H23N2O4	247.16578	85.05	stein, zhang	0.0002022933757253
C11H23N2O4	247.16578	85.06	stein, zhang	0.0002427520508704
C10H18NO6	248.11341	86.0	hmdb, lipidmaps, pubchem, stein, zhang	0.0
C10H18NO6	248.11341	86.01	hmdb, lipidmaps, pubchem, stein, zhang	4.030414962256621e-05
C11H22NO5	248.1498	86.03	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0001208947176262
C11H22NO5	248.1498	86.04	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0001611929568349
C9H16NO7	250.09268	87.97	pubchem	-0.0001199555300858
C9H16NO7	250.09268	87.98	pubchem	-7.997035339057513e-05
C12H19N2O4	255.13448	93.02	stein, zhang	7.83900317981169e-05
C12H19N2O4	255.13448	93.03	stein, zhang	0.0001175850476972
C12H18NO5	256.1185	94.0	stein, zhang	0.0
C12H18NO5	256.1185	94.01	stein, zhang	3.904442670094162e-05
C13H22NO4	256.15488	94.04	pubchem, stein, zhang	0.0001561555259068
C13H22NO4	256.15488	94.05	pubchem, stein, zhang	0.0001951944073835
C12H20NO5	258.13415	96.02	zhang	7.747909371927745e-05
C12H20NO5	258.13415	96.03	zhang	0.0001162186405789
C13H24NO4	258.17053	96.05	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001936704394571
C13H24NO4	258.17053	96.06	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002324045273486
C11H18NO6	260.11341	98.0	lipidmaps, pubchem, zhang	0.0
C11H18NO6	260.11341	98.01	lipidmaps, pubchem, zhang	3.844476914898434e-05
C12H22NO5	260.1498	98.03	stein, zhang	0.0001153181743749
C12H22NO5	260.1498	98.04	stein, zhang	0.0001537575658332
C13H26NO4	260.18618	98.07	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002690381172435
C13H26NO4	260.18618	98.08	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0003074721339926
C11H19NO6	261.12124	99.0	chebi	0.0
C11H19NO6	261.12124	99.01	chebi	3.829638676656528e-05
C11H20NO6	262.12906	100.01	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	3.814914683631459e-05
C11H20NO6	262.12906	100.02	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	7.629829367257497e-05
C12H24NO5	262.16545	100.05	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.000190719257629
C12H24NO5	262.16545	100.06	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0002288631091549
C11H22NO4S	264.12695	102.01	pubchem	3.786058181493829e-05
C11H22NO4S	264.12695	102.02	pubchem	7.572116362982277e-05
C14H20NO4	266.13923	104.02	stein, zhang	7.51486355468753e-05
C14H20NO4	266.13923	104.03	stein, zhang	0.0001127229533203
C13H19N2O4	267.13448	105.02	stein, zhang	7.48686579134076e-05
C13H19N2O4	267.13448	105.03	stein, zhang	0.0001123029868701
C13H20NO5	270.13415	108.02	stein, zhang	7.403728851015698e-05
C13H20NO5	270.13415	108.03	stein, zhang	0.0001110559327652
C14H24NO4	270.17053	108.05	stein, zhang	0.0001850682974194
C14H24NO4	270.17053	108.06	stein, zhang	0.0002220819569033
C13H22NO5	272.1498	110.03	zhang	0.0001102334082185
C13H22NO5	272.1498	110.04	zhang	0.0001469778776247
C14H26NO4	272.18618	110.07	stein, zhang, emily	0.0002571769073653
C14H26NO4	272.18618	110.08	stein, zhang, emily	0.0002939164655604
C12H20NO6	274.12906	112.01	hmdb, lipidmaps, pubchem, zhang	3.6479167878097695e-05
C12H20NO6	274.12906	112.02	hmdb, lipidmaps, pubchem, zhang	7.295833575614355e-05
C13H24NO5	274.16545	112.05	stein, zhang	0.0001823716299774
C13H24NO5	274.16545	112.06	stein, zhang	0.0002188459559729
C14H28NO4	274.20183	112.08	lipidmaps, pubchem, stein, zhang, emily	0.0002917558938246
C14H28NO4	274.20183	112.09	lipidmaps, pubchem, stein, zhang, emily	0.0003282253805527
C12H23N2O5	275.1607	113.04	stein, zhang	0.0001453695967483
C12H23N2O5	275.1607	113.05	pubchem, stein, zhang	0.0001817119959354
C13H25NO5	275.17327	113.07	pubchem	0.0002543851733854
C12H22NO6	276.14471	114.03	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001086386916483
C12H22NO6	276.14471	114.04	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001448515888644
C13H26NO5	276.1811	114.06	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.000217248754531
C13H26NO5	276.1811	114.07	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002534568802861
C11H20NO7	278.12398	116.01	zhang	3.5955188042415884e-05
C11H20NO7	278.12398	116.02	zhang	7.191037608478068e-05
C12H24NO6	278.16036	116.04	zhang	0.0001438019421602
C12H24NO6	278.16036	116.05	zhang	0.0001797524277003
C15H22NO4	280.15488	118.04	pubchem, stein, zhang	0.0001427781661344
C15H22NO4	280.15488	118.05	pubchem, stein, zhang	0.0001784727076679
C15H23NO4	281.16271	119.04	pubchem	0.0001422663766471
C15H23NO4	281.16271	119.06	pubchem	0.0002133995649707
C14H20NO5	282.13415	120.02	zhang	7.088826361500734e-05
C14H20NO5	282.13415	120.03	zhang	0.0001063323954225
C14H22NO5	284.1498	122.03	zhang	0.0001055781140792
C14H22NO5	284.1498	122.04	zhang	0.0001407708187723
C15H26NO4	284.18618	122.07	stein, zhang	0.0002463173965742
C15H26NO4	284.18618	122.08	stein, zhang	0.0002815055960849
C13H20NO6	286.12906	124.01	stein, zhang	3.494926380426062e-05
C13H20NO6	286.12906	124.02	stein, zhang	6.989852760847159e-05
C14H24NO5	286.16545	124.05	stein, zhang	0.0001747240975456
C14H24NO5	286.16545	124.06	stein, zhang	0.0002096689170548
C15H28NO4	286.20183	124.08	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002795230205201
C15H28NO4	286.20183	124.09	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0003144633980852
C13H22NO6	288.14471	126.03	lipidmaps, pubchem, stein, zhang	0.0001041143528194
C13H22NO6	288.14471	126.04	lipidmaps, pubchem, stein, zhang	0.0001388191370926
C14H26NO5	288.1811	126.06	stein, zhang	0.0002082024116085
C14H26NO5	288.1811	126.07	stein, zhang	0.0002429028135432
C15H30NO4	288.21748	126.1	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0003469602190678
C15H30NO4	288.21748	126.11	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0003816562409746
C13H25N2O5	289.17635	127.06	stein, zhang	0.0002074858473039
C13H25N2O5	289.17635	127.07	stein, zhang	0.0002420668218545
C15H31NO4	289.22531	127.11	pubchem	0.0003803263275956
C15H31NO4	289.22531	127.12	pubchem	0.0004149014482861
C12H20NO7	290.12398	128.01	zhang	3.446802294657237e-05
C12H20NO7	290.12398	128.02	zhang	6.893604589324272e-05
C13H24NO6	290.16036	128.04	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001378548055288
C13H24NO6	290.16036	128.05	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0001723185069111
C14H28NO5	290.19675	128.08	chebi, pubchem, stein, zhang, emily	0.0002756750377115
C14H28NO5	290.19675	128.09	chebi, pubchem, stein, zhang, emily	0.0003101344174254
C12H22NO7	292.13963	130.02	pubchem, zhang	6.846041394661255e-05
C12H22NO7	292.13963	130.03	pubchem, zhang	0.0001026906209198
C13H26NO4S	292.15825	130.04	stein, zhang	0.000136912101575
C13H26NO4S	292.15825	130.05	stein, zhang	0.0001711401269688
C11H20NO6S	294.10113	131.98	stein, zhang	-6.800381895849986e-05
C11H20NO6S	294.10113	131.99	stein, zhang	-3.400190947920161e-05
C16H24NO4	294.17053	132.05	stein, zhang	0.0001699694391549
C16H24NO4	294.17053	132.06	stein, zhang	0.0002039633269858
C10H19BrNO4	296.04975	133.93	pubchem	-0.0002364467458594
C10H19BrNO4	296.04975	133.94	pubchem	-0.000202668639308
C15H22NO5	296.1498	134.03	pubchem, stein, zhang	0.0001013000852946
C15H22NO5	296.1498	134.04	pubchem, stein, zhang	0.0001350667803928
C16H26NO4	296.18618	134.07	zhang	0.0002363378331831
C16H26NO4	296.18618	134.08	zhang	0.0002701003807808
C15H25N2O4	297.18143	135.06	stein, zhang	0.0002018968681858
C15H25N2O4	297.18143	135.07	stein, zhang	0.0002355463462168
C15H24NO5	298.16545	136.05	stein, zhang	0.0001676921320025
C15H24NO5	298.16545	136.06	stein, zhang	0.000201230558403
C16H28NO4	298.20183	136.08	stein, zhang	0.0002682746782607
C16H28NO4	298.20183	136.09	stein, zhang	0.0003018090130432
C17H32NO3	298.23822	136.12	hmdb, pubchem	0.0004023629164632
C17H32NO3	298.23822	136.13	hmdb, pubchem	0.0004358931595018
C13H18NO7	300.10833	137.99	stein, zhang	-3.332130101150776e-05
C13H18NO7	300.10833	138.0	pubchem, stein, zhang	0.0
C12H18N3O6	300.11956	138.01	pubchem	3.33200541810434e-05
C15H26NO5	300.1811	138.06	stein, zhang	0.0001998793395053
C15H26NO5	300.1811	138.07	stein, zhang	0.0002331925627562
C16H30NO4	300.21748	138.1	stein, zhang, emily	0.000333091863938
C16H30NO4	300.21748	138.11	stein, zhang, emily	0.0003664010503319
C14H25N2O5	301.17635	139.06	stein, zhang	0.0001992188297653
C14H25N2O5	301.17635	139.07	stein, zhang	0.0002324219680595
C14H24NO6	302.16036	140.04	stein, zhang	0.0001323800382022
C14H24NO6	302.16036	140.05	stein, zhang	0.0001654750477528
C15H28NO5	302.19675	140.08	chebi, lipidmaps, pubchem, stein, zhang	0.0002647281944627
C15H28NO5	302.19675	140.09	chebi, lipidmaps, pubchem, stein, zhang	0.0002978192187705
C16H32NO4	302.23313	140.11	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.000363957452315
C16H32NO4	302.23313	140.13	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004301315345541
C14H27N2O5	303.192	141.07	stein, zhang	0.0002308768041372
C10H29N3O7	303.20055	141.08	stein, zhang	0.0002638517641211
C14H27N2O5	303.192	141.09	stein, zhang	0.0002968416053194
C13H22NO7	304.13963	142.02	stein, zhang	6.575926984592647e-05
C13H22NO7	304.13963	142.03	stein, zhang	9.863890476884296e-05
C14H26NO6	304.17601	142.06	hmdb, pubchem, stein, zhang, emily	0.0001972542147554
C14H26NO6	304.17601	142.07	hmdb, pubchem, stein, zhang, emily	0.0002301299172146
C15H30NO5	304.2124	142.09	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002958459286998
C15H30NO5	304.2124	142.11	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0003615894684109
C14H27NO6	305.18384	143.06	hmdb	0.0001966028083269
C14H27NO6	305.18384	143.08	hmdb	0.0002621370777692
C13H24NO5S	306.13752	144.02	stein, zhang	6.533011700104656e-05
C13H24NO5S	306.13752	144.03	stein, zhang	9.799517550152344e-05
C13H24NO7	306.15528	144.04	stein, zhang	0.0001306526544307
C13H24NO7	306.15528	144.05	stein, zhang	0.0001633158180385
C17H24NO4	306.17053	144.06	stein, zhang	0.0001959692201597
C14H28NO6	306.19166	144.07	zhang	0.0002286149792583
C14H28NO6	306.19166	144.08	zhang	0.0002612742620096
C16H22NO5	308.1498	146.03	stein, zhang	9.735524735048064e-05
C16H22NO5	308.1498	146.04	stein, zhang	0.0001298069964672
C13H26NO5S	308.15317	146.05	stein, zhang	0.000162256971103
C17H26NO4	308.18618	146.07	stein, zhang	0.0002271354283309
C17H26NO4	308.18618	146.08	stein, zhang	0.000259583346664
C15H20NO6	310.12906	148.01	stein, zhang	3.2244640344219616e-05
C15H20NO6	310.12906	148.02	stein, zhang	6.448928068853087e-05
C16H24NO5	310.16545	148.05	stein, zhang	0.000161204286293
C16H24NO5	310.16545	148.06	stein, zhang	0.0001934451435516
C17H28NO4	310.20183	148.08	lipidmaps, pubchem, stein, zhang	0.0002578966087982
C17H28NO4	310.20183	148.1	lipidmaps, pubchem, stein, zhang	0.0003223707609977
C15H22NO6	312.14471	150.03	stein, zhang	9.610926931935237e-05
C15H22NO6	312.14471	150.04	stein, zhang	0.0001281456924257
C16H26NO5	312.1811	150.06	stein, zhang	0.0001921961323091
C16H26NO5	312.1811	150.07	stein, zhang	0.0002242288210272
C17H30NO4	312.21748	150.1	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0003202895622627
C17H30NO4	312.21748	150.11	chebi, hmdb, lipidmaps, pubchem, stein, zhang	0.0003523185184891
C15H24NO4S	314.1426	152.02	stein, zhang	6.36653545237425e-05
C15H24NO4S	314.1426	152.04	stein, zhang	0.0001273307090473
C15H24NO6	314.16036	152.05	stein, zhang	0.0001591543885422
C16H28NO5	314.19675	152.08	stein, zhang	0.0002546175286663
C16H28NO5	314.19675	152.09	stein, zhang	0.0002864447197496
C17H32NO4	314.23313	152.11	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0003500585695722
C17H32NO4	314.23313	152.13	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004137055822216
C15H27N2O5	315.192	153.07	stein, zhang	0.0002220868549962
C15H27N2O5	315.192	153.09	stein, zhang	0.0002855402421381
C14H22NO5S	316.12187	154.0	stein, zhang	0.0
C14H22NO5S	316.12187	154.02	stein, zhang	6.326673950147845e-05
C15H26NO6	316.17601	154.06	stein, zhang	0.0001897677183034
C15H26NO6	316.17601	154.07	stein, zhang	0.000221395671354
C16H30NO5	316.2124	154.09	stein, zhang	0.0002846188195023
C16H30NO5	316.2124	154.11	stein, zhang	0.0003478674460584
C17H34NO4	316.24878	154.13	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004110687794589
C17H34NO4	316.24878	154.14	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004426894548019
C15H29N2O5	317.20765	155.09	stein, zhang	0.0002837258180879
C15H29N2O5	317.20765	155.1	stein, zhang	0.0003152509089865
C12H20N3O7	318.13012	156.01	pubchem	3.143367877266983e-05
C12H20N3O7	318.13012	156.02	pubchem	6.2867357545429e-05
C14H24NO7	318.15528	156.04	stein, zhang	0.0001257247718786
C14H24NO7	318.15528	156.05	stein, zhang	0.0001571559648483
C15H28NO6	318.19166	156.07	hmdb, pubchem, stein, zhang, emily	0.0002199931952961
C15H28NO6	318.19166	156.09	hmdb, pubchem, stein, zhang	0.0002828483939522
C16H32NO5	318.22805	156.11	pubchem, stein, zhang, emily	0.0003456640607263
C16H32NO5	318.22805	156.12	pubchem, stein, zhang, emily	0.0003770880662468
C17H23N2O4	319.16578	157.05	stein, zhang	0.0001566583986541
C17H23N2O4	319.16578	157.06	stein, zhang	0.0001879900783849
C14H26NO7	320.17093	158.05	stein, zhang	0.0001561665826438
C14H26NO7	320.17093	158.06	stein, zhang	0.0001873998991726
C18H26NO4	320.18618	158.07	zhang	0.0002186228025206
C18H26NO4	320.18618	158.08	zhang	0.0002498546314522
C15H30NO6	320.20731	158.09	stein, zhang	0.0002810679119099
C15H30NO6	320.20731	158.1	stein, zhang	0.0003122976798999
C17H24NO5	322.16545	160.05	stein, zhang	0.000155199758385
C17H24NO5	322.16545	160.06	stein, zhang	0.000186239710062
C18H28NO4	322.20183	160.08	stein, zhang	0.000248291575501
C18H28NO4	322.20183	160.1	stein, zhang	0.0003103644693762
C17H27N2O4	323.19708	161.08	stein, zhang	0.0002475269887958
C17H27N2O4	323.19708	161.09	stein, zhang	0.0002784678623953
C16H22NO6	324.14471	162.03	stein, zhang	9.255125588815298e-05
C16H22NO6	324.14471	162.04	stein, zhang	0.0001234016745175
C17H26NO5	324.1811	162.06	stein, zhang	0.0001850817336359
C17H26NO5	324.1811	162.07	stein, zhang	0.0002159286892418
C16H26N3O4	324.19233	162.09	stein, zhang	0.0002776129836261
C16H24NO6	326.16036	164.04	stein, zhang	0.0001226390601236
C16H24NO6	326.16036	164.05	stein, zhang	0.0001532988251546
C17H28NO5	326.19675	164.08	stein, zhang	0.0002452507574033
C17H28NO5	326.19675	164.09	stein, zhang	0.0002759071020787
C18H32NO4	326.23313	164.11	stein, zhang	0.0003371821862482
C18H32NO4	326.23313	164.13	stein, zhang	0.0003984880382933
C15H23N2O6	327.15561	165.04	stein, zhang	0.0001222659761206
C15H23N2O6	327.15561	165.05	stein, zhang	0.0001528324701508
C15H22NO7	328.13963	166.02	stein, zhang	6.094966341008622e-05
C15H22NO7	328.13963	166.03	stein, zhang	9.142449511508604e-05
C16H26NO6	328.17601	166.06	stein, zhang	0.0001828287204783
C16H26NO6	328.17601	166.07	stein, zhang	0.0002133001738914
C17H30NO5	328.2124	166.09	stein, zhang	0.0002742126744754
C17H30NO5	328.2124	166.11	stein, zhang	0.0003351488243589
C18H34NO4	328.24878	166.13	chebi, stein, zhang, emily	0.000396041075918
C18H34NO4	328.24878	166.14	chebi, stein, zhang, emily	0.0004265057740655
C15H25N2O6	329.17126	167.05	stein, zhang	0.0001518966145465
C15H25N2O6	329.17126	167.06	stein, zhang	0.0001822759374557
C16H29N2O5	329.20765	167.09	stein, zhang	0.0002733836835201
C16H29N2O5	329.20765	167.1	stein, zhang	0.0003037596483556
C16H28NO6	330.19166	168.07	stein, zhang	0.0002119980862023
C16H28NO6	330.19166	168.09	stein, zhang	0.0002725689679745
C17H32NO5	330.22805	168.11	lipidmaps, pubchem, stein, zhang	0.0003331031388763
C17H32NO5	330.22805	168.12	lipidmaps, pubchem, stein, zhang	0.0003633852424105
C18H36NO4	330.26443	168.14	chebi, lipidmaps, pubchem, stein, zhang, emily	0.0004239027496845
C18H36NO4	330.26443	168.16	chebi, lipidmaps, pubchem, stein, zhang, emily	0.0004844602853537
C16H31N2O5	331.2233	169.1	stein, zhang	0.0003019111276289
C16H31N2O5	331.2233	169.12	stein, zhang	0.0003622933531548
C15H26NO7	332.17093	170.05	stein, zhang	0.0001505249119783
C15H26NO7	332.17093	170.06	stein, zhang	0.0001806298943739
C16H30NO6	332.20731	170.09	pubchem, stein, zhang, emily	0.0002709151704097
C16H30NO6	332.20731	170.1	pubchem, stein, zhang, emily	0.0003010168560107
C17H34NO5	332.2437	170.12	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0003611806634708
C17H34NO5	332.2437	170.14	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004213774407159
C18H25N2O4	333.18143	171.06	stein, zhang	0.0001800820651979
C18H25N2O4	333.18143	171.08	stein, zhang	0.0002401094202639
C15H28NO7	334.18658	172.07	stein, zhang	0.0002094638270632
C15H28NO7	334.18658	172.08	stein, zhang	0.0002393872309295
C19H28NO4	334.20183	172.1	zhang	0.0002992203842809
C17H23N2O5	335.1607	173.04	stein, zhang	0.0001193457347475
C17H23N2O5	335.1607	173.05	stein, zhang	0.0001491821684344
C17H22NO6	336.14471	174.02	stein, zhang	5.9498184576548095e-05
C17H22NO6	336.14471	174.04	stein, zhang	0.000118996369153
C15H27ClNO5	336.15778	174.05	stein, zhang	0.0001487396781356
C18H26NO5	336.1811	174.06	stein, zhang	0.0001784752325457
C18H26NO5	336.1811	174.07	stein, zhang	0.0002082211046367
C19H30NO4	336.21748	174.1	stein, zhang	0.0002974265347536
C19H30NO4	336.21748	174.11	stein, zhang	0.000327169188229
C17H25N2O5	337.17635	175.06	stein, zhang	0.0001779484237254
C17H25N2O5	337.17635	175.07	stein, zhang	0.0002076064943463
C17H24NO6	338.16036	176.04	zhang	0.0001182870753981
C17H24NO6	338.16036	176.05	zhang	0.0001478588442477
C18H28NO5	338.19675	176.08	pubchem, stein, zhang	0.000236548695397
C18H28NO5	338.19675	176.09	pubchem, stein, zhang	0.0002661172823216
C19H32NO4	338.23313	176.11	stein, zhang	0.0003252194721434
C19H32NO4	338.23313	176.13	stein, zhang	0.0003843502852603
C17H27N2O5	339.192	177.07	stein, zhang	0.0002063727918111
C17H27N2O5	339.192	177.09	stein, zhang	0.0002653364466143
C17H26NO4S	340.15825	178.04	stein, zhang	0.0001175923265127
C17H26NO4S	340.15825	178.05	stein, zhang	0.0001469904081409
C17H26NO6	340.17601	178.06	stein, zhang	0.0001763792808317
C17H26NO6	340.17601	178.07	stein, zhang	0.0002057758276369
C19H34NO4	340.24878	178.13	lipidmaps, stein, zhang	0.0003820733758398
C19H34NO4	340.24878	178.14	lipidmaps, stein, zhang	0.0004114636355198
C16H25N2O6	341.17126	179.05	stein, zhang	0.0001465539623707
C16H25N2O6	341.17126	179.07	stein, zhang	0.0002051755473189
C17H29N2O5	341.20765	179.09	stein, zhang	0.0002637689981452
C17H29N2O5	341.20765	179.1	stein, zhang	0.0002930766646058
C17H28NO4S	342.1739	180.05	stein, zhang	0.0001461245290772
C17H28NO4S	342.1739	180.07	stein, zhang	0.000204574340708
C17H28NO6	342.19166	180.09	stein, zhang	0.000263010501191
C18H32NO5	342.22805	180.11	stein, zhang	0.0003214230978437
C18H32NO5	342.22805	180.12	stein, zhang	0.0003506433794658
C17H32N3O4	342.23928	180.13	stein, zhang	0.0003798511965078
C19H36NO4	342.26443	180.14	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004090404603247
C19H36NO4	342.26443	180.16	chebi, hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0004674748117997
C17H31N2O5	343.2233	181.1	stein, zhang	0.0002913555111205
C17H31N2O5	343.2233	181.12	stein, zhang	0.0003496266133447
C17H30NO6	344.20731	182.09	stein, zhang	0.0002614703330966
C17H30NO6	344.20731	182.1	stein, zhang	0.0002905225923295
C18H34NO5	344.2437	182.12	stein, zhang	0.0003485902574252
C18H34NO5	344.2437	182.14	stein, zhang	0.0004066886336626
C19H38NO4	344.28008	182.16	hmdb, lipidmaps, pubchem, zhang, emily	0.0004647378959595
C19H38NO4	344.28008	182.17	hmdb, lipidmaps, pubchem, zhang, emily	0.000493784014457
C16H28NO7	346.18658	184.07	stein, zhang	0.0002022031009982
C16H28NO7	346.18658	184.08	stein, zhang	0.0002310892582838
C17H32NO6	346.22296	184.1	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0002888312202055
C17H32NO6	346.22296	184.12	hmdb, lipidmaps, pubchem, stein, zhang, emily	0.0003465974642467
C18H36NO5	346.25935	184.14	pubchem, stein, zhang, emily	0.0004043212118314
C18H36NO5	346.25935	184.15	pubchem, stein, zhang, emily	0.0004332012983909
C16H30NO7	348.20223	186.08	zhang	0.0002297515440955
C20H30NO4	348.21748	186.1	stein, zhang	0.0002871768528104
C20H30NO4	348.21748	186.11	stein, zhang	0.0003158945380915
C17H34NO6	348.23861	186.12	stein, zhang	0.00034459131341
C17H34NO6	348.23861	186.13	stein, zhang	0.0003733072561942
C18H24NO6	350.16036	188.04	stein, zhang	0.0001142333758167
C18H24NO6	350.16036	188.05	stein, zhang	0.0001427917197709
C20H32NO4	350.23313	188.11	stein, zhang	0.0003140765124076
C20H32NO4	350.23313	188.13	stein, zhang	0.0003711813328453
C14H27N2O6S	351.15898	189.04	stein, zhang	0.0001139085208642
C14H27N2O6S	351.15898	189.05	stein, zhang	0.0001423856510803
C18H26NO6	352.17601	190.06	zhang	0.0001703693559365
C18H26NO6	352.17601	190.07	zhang	0.0001987642485926
C19H30NO5	352.2124	190.09	stein, zhang	0.0002555276304866
C19H30NO5	352.2124	190.11	stein, zhang	0.0003123115483725
C20H34NO4	352.24878	190.13	zhang	0.0003690573463448
C20H34NO4	352.24878	190.14	zhang	0.0003974463729866
C17H24NO7	354.15528	192.04	stein, zhang	0.0001129448077125
C17H24NO7	354.15528	192.05	stein, zhang	0.0001411810096407
C18H28NO6	354.19166	192.07	stein, zhang	0.000197633111971
C18H28NO6	354.19166	192.09	stein, zhang	0.0002540997153913
C19H32NO5	354.22805	192.11	stein, zhang	0.0003105344142001
C19H32NO5	354.22805	192.12	stein, zhang	0.000338764815491
C20H36NO4	354.26443	192.14	stein, zhang	0.0003951850317007
C20H36NO4	354.26443	192.16	stein, zhang	0.0004516400362294
C21H40NO3	354.30082	192.18	hmdb, pubchem	0.0005080428546566
C21H40NO3	354.30082	192.19	hmdb, pubchem	0.0005362674576931
C17H26NO7	356.17093	194.05	stein, zhang	0.0001403820351088
C17H26NO7	356.17093	194.07	stein, zhang	0.0001965348491523
C19H34NO5	356.2437	194.12	stein, zhang	0.0003368480621552
C19H34NO5	356.2437	194.14	stein, zhang	0.0003929894058477
C20H38NO4	356.28008	194.16	stein, zhang, emily	0.0004490848884955
C20H38NO4	356.28008	194.17	stein, zhang, emily	0.0004771526940265
C18H32NO6	358.22296	196.1	stein, zhang	0.0002791557526072
C18H32NO6	358.22296	196.12	stein, zhang	0.0003349869031287
C19H36NO5	358.25935	196.14	lipidmaps, stein, zhang	0.0003907783565173
C19H36NO5	358.25935	196.15	lipidmaps, stein, zhang	0.0004186910962686
C20H40NO4	358.29573	196.18	pubchem, stein, zhang, emily	0.0005023783007405
C20H40NO4	358.29573	196.19	pubchem, stein, zhang, emily	0.0005302882063372
C17H30NO7	360.20223	198.08	stein, zhang	0.0002220974589746
C17H30NO7	360.20223	198.1	stein, zhang	0.0002776218237182
C18H34NO6	360.23861	198.12	pubchem, stein, zhang, emily	0.0003331125444882
C18H34NO6	360.23861	198.13	pubchem, stein, zhang, emily	0.0003608719231955
