precmz_massql	delta_mass_r2_massql	mass_defect_massql
267.17001	105.06	0.00022457610418176156
268.12845	106.02	7.459111481827468e-05
268.15417	106.04	0.00014916792082706097
268.17352	106.06	0.00022373573647391538
269.13785	107.03	0.00011146704188950434
269.13736	107.02	7.431149655326938e-05
269.14935	107.04	0.00014861637228552195
269.17517	107.06	0.00022290317491023513
269.18579	107.07	0.0002600434443437493
270.13336	108.02	7.403750503083375e-05
270.16092	108.05	0.0001850748805563631
270.1691	108.06	0.0002220831323789518
271.07874	108.97	-0.0001106689517591868
271.11469	109.0	0.0
271.12958	109.02	7.376546668200505e-05
271.15295	109.04	0.00014751821803895646
271.16528	109.05	0.00018438938790392767
271.16818	109.06	0.00022126489914857367
271.20108	109.09	0.00033185708552489323
272.05289	109.94	-0.0002205453505750381
272.06	109.95	-0.0001837829890465234
272.07999	109.97	-0.00011026169179145124
272.10999	110.0	0.0
272.12259	110.01	3.6748143548116e-05
272.13049	110.02	7.349415348495504e-05
272.13986	110.03	0.00011023743453091046
272.1489	110.04	0.00014697836368255117
272.15808	110.05	0.00018371675755501053
272.17001	110.06	0.00022045044566079222
272.17999	110.07	0.00025718275616070524
272.19	110.08	0.00029391234064439655
272.22223	110.11	0.0004040816211078699
272.23001	110.12	0.0004408037159459552
273.0751	110.96	-0.00014647985114719816
273.0838	110.97	-0.00010985638840532151
273.09085	110.98	-7.32357015989222e-05
273.13858	111.03	0.00010983435587898692
273.15845	111.05	0.0001830439439087356
273.16885	111.06	0.00021964437013957582
273.17999	111.07	0.00025624131547846235
273.18893	111.08	0.0002928376343799812
273.20001	111.09	0.00032942897769294884
273.21652	111.1	0.0003660100787463156
274.01001	111.9	-0.00036495017098095905
274.08917	111.98	-7.296895386270103e-05
274.10303	111.99	-3.648263209642417e-05
274.1109	112.0	0.0
274.11871	112.01	3.64805452353293e-05
274.13675	112.02	7.295628915129409e-05
274.13806	112.03	0.00010943391078203857
274.14999	112.04	0.0001459055314939324
274.16	112.05	0.00018237525532534708
274.17001	112.06	0.00021884231612349678
274.17969	112.07	0.0002553070214646212
274.20065	112.09	0.00032822679304371965
275.10001	112.99	-3.6350416708473096e-05
275.11011	113.0	0.0
275.12	113.01	3.6347775516157005e-05
275.1582	113.05	0.0001817136469129292
275.17001	113.06	0.00021804701755108515
275.17999	113.07	0.0002543789612027865
275.2001	113.09	0.0003270347648856356
275.56702	113.45	0.0016329965755699023
275.93448	113.82	-0.0006523287702211294
276.01001	113.9	-0.0003623057004345397
276.05161	113.94	-0.00021735066134916683
276.10199	113.99	-3.6218500272327326e-05
276.10773	114.0	0.0
276.11899	114.01	3.621627038402942e-05
276.13	114.02	7.24296526998009e-05
276.14001	114.03	0.00010864054071701213
276.14813	114.04	0.00014484979492711486
276.16	114.05	0.0001810544611819132
276.17001	114.06	0.00021725747846408912
276.18033	114.07	0.0002534575869323973
276.18985	114.08	0.0002896558291334685
276.66	114.55	-0.0016265452179570694
277.03122	114.92	-0.00028877611700225806
277.09268	114.98	-7.217801639507772e-05
277.08517	114.97	-0.00010826995901657651
277.10458	114.99	-3.6087458388472384e-05
277.11557	115.0	0.0
277.11771	115.01	3.608574854348037e-05
277.13919	115.03	0.0001082488550248023
277.14999	115.04	0.00014432618236791657
277.16525	115.05	0.00018039779517813707
277.17871	115.07	0.00025254464890176153
277.19	115.08	0.0002886107002417053
278.142	116.03	0.00010785857583536876
279.01001	116.9	-0.00035841007998241466
279.09265	116.98	-7.166079078039505e-05
279.11829	117.01	3.5827103985213995e-05
279.13	117.02	7.165120194889844e-05
279.15894	117.05	0.00017910943493336506
279.19131	117.08	0.00028654186980246017
280.04974	117.94	-0.00021424765472020176
280.07925	117.97	-0.00010711254046846076
280.12088	118.01	3.569887400041409e-05
280.12985	118.02	7.139546178315528e-05
280.15399	118.04	0.00014277861971555804
280.17361	118.06	0.00021415293181967522
280.1907	118.08	0.0002855198263182836
280.65308	118.54	-0.0016390342126300333
281.09885	118.99	-3.5574674176024254e-05
281.12851	119.02	7.11418418572916e-05
281.14514	119.03	0.00010670645062547101
281.14807	119.04	0.00014227378477115724
281.15839	119.05	0.00017783570321339923
281.17505	119.06	0.00021339019945049276
281.18143	119.07	0.000248949583903863
281.66086	119.55	-0.0015976660725952581
281.93069	119.82	-0.0006384547918497515
282.13364	120.02	7.088839175645988e-05
282.14001	120.03	0.00010633018691677631
282.16959	120.06	0.00021263808052456067
282.18906	120.08	0.0002834978790460491
283.11481	121.0	0.0
283.13	121.02	7.063892911382059e-05
283.15268	121.04	0.000141266542135523
283.16449	121.05	0.00017657581287822198
283.17441	121.06	0.00021188355261339564
283.20157	121.09	0.00031779484838309125
283.21387	121.1	0.00035309005169836604
284.06	121.95	-0.00017601915088360614
284.13	122.02	7.039031429273932e-05
284.14001	122.03	0.00010558175175682276
284.14999	122.04	0.0001407707246444255
284.17612	122.06	0.0002111366711601322
284.17999	122.07	0.00024632276185242033
284.19	122.08	0.00028150181216790983
285.11041	123.0	0.0
285.13297	123.02	7.014271271398751e-05
285.14758	123.04	0.0001402782376761053
285.16602	123.05	0.00017533645839008853
285.18079	123.07	0.00024545832838177207
285.19	123.08	0.00028051474455625475
285.20624	123.09	0.0003155611181578756
285.21683	123.1	0.0003506104460946232
286.07227	123.96	-0.00013982480720695596
286.09	123.98	-6.990807088676997e-05
286.10001	123.99	-3.495281247982171e-05
286.10977	124.0	0.0
286.12	124.01	3.495037047394491e-05
286.12863	124.02	6.989863265341892e-05
286.13788	124.03	0.00010484455955290203
286.15488	124.04	0.00013978444120892243
286.16	124.05	0.00017472742521665207
286.17001	124.06	0.00020966557606788452
286.18967	124.08	0.0002795348972588644
286.20126	124.09	0.0003144640243722317
286.20999	124.1	0.0003493938139615403
286.22397	124.11	0.0003843144234216283
286.23727	124.12	0.00041923261775101664
286.27411	124.16	0.0005589048901418175
287.09039	124.98	-6.96644704826101e-05
287.10117	124.99	-3.483092736962763e-05
287.1138	125.0	0.0
287.11954	125.01	3.4828698875754386e-05
287.13629	125.02	6.965333431032358e-05
287.14548	125.03	0.00010447665761620603
287.14862	125.04	0.00013930068687081364
287.15903	125.05	0.00017411954623191604
287.17001	125.06	0.0002089354664855229
287.20084	125.09	0.0003133695569971293
287.20944	125.1	0.00034817797075191654
287.1965	125.08	0.00027855492667911444
287.96146	125.85	-0.0005209030402888139
288.07361	125.96	-0.00013885339931001057
288.07999	125.97	-0.00010413774313169455
288.10001	125.99	-3.471016887505528e-05
288.10773	126.0	0.0
288.11847	126.01	3.470794496446242e-05
288.13	126.02	6.941311213686885e-05
288.14456	126.03	0.00010411440701848105
288.15421	126.04	0.00013881456043972516
288.15845	126.05	0.00017351564738079747
288.18039	126.07	0.00024290341199133356
288.19	126.08	0.00027759464242339534
288.20309	126.09	0.0003122797885338544
288.2157	126.1	0.00034696236186992696
288.22446	126.11	0.00038164699831513057
288.22855	126.12	0.0004163362720313604
288.25278	126.14	0.00048568482149591264
288.92218	126.81	-0.0006576165249756793
289.03244	126.92	-0.0002767855400590961
289.04001	126.93	-0.00024218100462975066
289.04904	126.94	-0.00020757723326118735
289.06036	126.95	-0.00017297425354343695
289.07788	126.97	-0.00010377826210708733
289.09	126.98	-6.918260749246263e-05
289.12119	127.01	3.458757208354433e-05
289.13916	127.03	0.00010375626739733607
289.15277	127.04	0.00013833517832115616
289.15833	127.05	0.0001729156479773457
289.17532	127.06	0.00020748658633801208
289.1792	127.07	0.00024206443616965945
289.20895	127.1	0.00034577076539296
289.21915	127.11	0.0003803344280625935
289.96606	127.85	-0.000517301921473174
290.03	127.92	-0.00027583353446194634
290.04398	127.93	-0.0002413427094745879
290.06763	127.96	-0.0001378988755139836
290.0983	127.99	-3.4471074115239956e-05
