scan	delta_mass_r2	repository
6345	98.07	GNPS/MassIVE
6346	98.07	GNPS/MassIVE
6347	98.07	GNPS/MassIVE
6348	98.07	GNPS/MassIVE
6349	98.07	GNPS/MassIVE
6350	98.07	GNPS/MassIVE
6351	98.07	GNPS/MassIVE
6352	98.07	GNPS/MassIVE
6353	98.07	GNPS/MassIVE
6354	98.07	GNPS/MassIVE
6355	98.07	GNPS/MassIVE
6356	98.07	GNPS/MassIVE
6357	98.07	GNPS/MassIVE
6358	98.07	GNPS/MassIVE
6359	98.07	GNPS/MassIVE
6360	98.07	GNPS/MassIVE
6361	98.07	GNPS/MassIVE
6362	98.07	GNPS/MassIVE
6363	98.07	GNPS/MassIVE
6364	98.07	GNPS/MassIVE
6365	98.07	GNPS/MassIVE
6366	98.07	GNPS/MassIVE
6367	98.07	GNPS/MassIVE
6368	98.07	GNPS/MassIVE
6369	98.07	GNPS/MassIVE
6370	98.07	GNPS/MassIVE
6371	98.07	GNPS/MassIVE
6372	98.07	GNPS/MassIVE
6373	98.07	GNPS/MassIVE
6374	98.07	GNPS/MassIVE
6375	98.07	GNPS/MassIVE
6376	98.07	GNPS/MassIVE
6377	98.07	GNPS/MassIVE
6378	98.07	GNPS/MassIVE
6379	98.07	GNPS/MassIVE
6380	98.07	GNPS/MassIVE
6381	98.07	GNPS/MassIVE
6382	98.07	GNPS/MassIVE
6383	98.07	GNPS/MassIVE
6384	98.07	GNPS/MassIVE
6385	98.07	GNPS/MassIVE
6386	98.07	GNPS/MassIVE
6387	98.07	GNPS/MassIVE
6388	98.07	GNPS/MassIVE
6389	98.07	GNPS/MassIVE
6390	98.07	GNPS/MassIVE
6391	98.07	GNPS/MassIVE
6392	98.07	GNPS/MassIVE
6393	98.07	GNPS/MassIVE
6394	98.07	GNPS/MassIVE
6395	98.07	GNPS/MassIVE
6396	98.07	GNPS/MassIVE
6397	98.07	GNPS/MassIVE
6398	98.07	GNPS/MassIVE
6399	98.07	GNPS/MassIVE
6400	98.07	GNPS/MassIVE
6401	98.07	GNPS/MassIVE
6402	98.07	GNPS/MassIVE
6403	98.07	GNPS/MassIVE
6404	98.07	GNPS/MassIVE
6405	98.07	GNPS/MassIVE
6406	98.07	GNPS/MassIVE
6407	98.07	GNPS/MassIVE
6408	98.07	GNPS/MassIVE
6409	98.07	GNPS/MassIVE
6410	98.07	GNPS/MassIVE
6411	98.07	GNPS/MassIVE
6412	98.07	GNPS/MassIVE
6413	98.07	GNPS/MassIVE
6414	98.07	GNPS/MassIVE
6415	98.07	GNPS/MassIVE
6416	98.07	GNPS/MassIVE
6417	98.07	GNPS/MassIVE
6418	98.07	GNPS/MassIVE
6419	98.07	GNPS/MassIVE
6420	98.07	GNPS/MassIVE
6421	98.07	GNPS/MassIVE
6422	98.07	GNPS/MassIVE
6423	98.07	MetaboLights
6424	98.07	GNPS/MassIVE
6425	98.07	GNPS/MassIVE
6426	98.07	GNPS/MassIVE
6427	98.07	GNPS/MassIVE
6428	98.07	GNPS/MassIVE
6429	98.07	GNPS/MassIVE
6430	98.07	GNPS/MassIVE
6431	98.07	GNPS/MassIVE
6432	98.07	GNPS/MassIVE
6433	98.07	GNPS/MassIVE
6434	98.07	GNPS/MassIVE
6435	98.07	GNPS/MassIVE
6436	98.07	GNPS/MassIVE
6437	98.07	GNPS/MassIVE
6438	98.07	GNPS/MassIVE
6439	98.07	GNPS/MassIVE
6440	98.07	GNPS/MassIVE
6441	98.07	GNPS/MassIVE
6442	98.07	GNPS/MassIVE
6443	98.07	GNPS/MassIVE
6444	98.07	GNPS/MassIVE
6445	98.07	GNPS/MassIVE
6446	98.07	GNPS/MassIVE
6447	98.07	GNPS/MassIVE
6448	98.07	GNPS/MassIVE
6449	98.07	GNPS/MassIVE
6450	98.07	GNPS/MassIVE
6451	98.07	GNPS/MassIVE
6452	98.07	GNPS/MassIVE
6453	98.07	GNPS/MassIVE
6454	98.07	GNPS/MassIVE
6455	98.07	GNPS/MassIVE
6456	98.07	GNPS/MassIVE
6457	98.07	GNPS/MassIVE
6458	98.07	GNPS/MassIVE
6459	98.07	GNPS/MassIVE
6460	98.07	GNPS/MassIVE
6461	98.07	GNPS/MassIVE
6462	98.07	GNPS/MassIVE
6463	98.07	GNPS/MassIVE
6464	98.07	GNPS/MassIVE
6465	98.07	GNPS/MassIVE
6466	98.07	GNPS/MassIVE
6467	98.07	GNPS/MassIVE
6468	98.07	GNPS/MassIVE
6469	98.07	GNPS/MassIVE
6470	98.07	GNPS/MassIVE
6471	98.07	GNPS/MassIVE
6472	98.07	GNPS/MassIVE
6473	98.07	GNPS/MassIVE
6474	98.07	GNPS/MassIVE
6475	98.07	GNPS/MassIVE
6476	98.07	GNPS/MassIVE
6477	98.07	GNPS/MassIVE
6478	98.07	GNPS/MassIVE
6479	98.07	GNPS/MassIVE
6480	98.07	GNPS/MassIVE
6481	98.07	GNPS/MassIVE
6482	98.07	GNPS/MassIVE
6483	98.07	GNPS/MassIVE
6484	98.07	GNPS/MassIVE
6485	98.07	GNPS/MassIVE
6486	98.07	GNPS/MassIVE
6487	98.07	GNPS/MassIVE
6488	98.07	GNPS/MassIVE
6489	98.07	GNPS/MassIVE
6490	98.07	GNPS/MassIVE
6491	98.07	GNPS/MassIVE
6492	98.07	GNPS/MassIVE
6493	98.07	GNPS/MassIVE
6494	98.07	GNPS/MassIVE
6495	98.07	GNPS/MassIVE
6496	98.07	GNPS/MassIVE
6497	98.07	GNPS/MassIVE
6498	98.07	GNPS/MassIVE
6499	98.07	GNPS/MassIVE
6500	98.07	GNPS/MassIVE
6501	98.07	GNPS/MassIVE
6502	98.07	MetaboLights
6503	98.07	GNPS/MassIVE
6504	98.07	GNPS/MassIVE
6505	98.07	MetaboLights
6506	98.07	GNPS/MassIVE
6507	98.07	Metabolomics Workbench
6508	98.07	GNPS/MassIVE
6509	98.07	GNPS/MassIVE
6510	98.07	GNPS/MassIVE
6511	98.07	GNPS/MassIVE
6512	98.07	GNPS/MassIVE
6513	98.07	GNPS/MassIVE
6514	98.07	GNPS/MassIVE
6515	98.07	GNPS/MassIVE
6516	98.07	GNPS/MassIVE
6517	98.07	GNPS/MassIVE
6518	98.07	GNPS/MassIVE
6519	98.07	GNPS/MassIVE
6520	98.07	GNPS/MassIVE
6521	98.07	GNPS/MassIVE
6522	98.07	GNPS/MassIVE
6523	98.07	GNPS/MassIVE
6524	98.07	GNPS/MassIVE
6525	98.07	GNPS/MassIVE
6526	98.07	GNPS/MassIVE
6527	98.07	GNPS/MassIVE
6528	98.07	GNPS/MassIVE
6529	98.07	GNPS/MassIVE
6530	98.07	GNPS/MassIVE
6531	98.07	GNPS/MassIVE
6532	98.07	GNPS/MassIVE
6533	98.07	GNPS/MassIVE
6534	98.07	GNPS/MassIVE
6535	98.07	GNPS/MassIVE
6536	98.07	GNPS/MassIVE
6537	98.07	GNPS/MassIVE
6538	98.07	GNPS/MassIVE
6539	98.07	GNPS/MassIVE
6540	98.07	GNPS/MassIVE
6541	98.07	GNPS/MassIVE
6542	98.07	GNPS/MassIVE
6543	98.07	GNPS/MassIVE
6544	98.07	GNPS/MassIVE
6545	98.07	GNPS/MassIVE
6546	98.07	GNPS/MassIVE
6547	98.07	GNPS/MassIVE
6548	98.07	GNPS/MassIVE
6549	98.07	GNPS/MassIVE
6550	98.07	GNPS/MassIVE
6551	98.07	GNPS/MassIVE
6552	98.07	GNPS/MassIVE
6553	98.07	GNPS/MassIVE
6554	98.07	GNPS/MassIVE
6555	98.07	GNPS/MassIVE
6556	98.07	GNPS/MassIVE
6557	98.07	GNPS/MassIVE
6558	98.07	GNPS/MassIVE
6559	98.07	GNPS/MassIVE
6560	98.07	GNPS/MassIVE
6561	98.07	GNPS/MassIVE
6562	98.07	GNPS/MassIVE
6563	98.07	GNPS/MassIVE
6564	98.07	GNPS/MassIVE
6565	98.07	GNPS/MassIVE
6566	98.07	GNPS/MassIVE
6567	98.07	GNPS/MassIVE
6568	98.07	GNPS/MassIVE
6569	98.07	GNPS/MassIVE
6570	98.07	GNPS/MassIVE
6571	98.07	GNPS/MassIVE
6572	98.07	GNPS/MassIVE
6573	98.07	GNPS/MassIVE
6574	98.07	GNPS/MassIVE
6575	98.07	GNPS/MassIVE
6576	98.07	GNPS/MassIVE
6577	98.07	GNPS/MassIVE
6578	98.07	GNPS/MassIVE
6579	98.07	GNPS/MassIVE
6580	98.07	GNPS/MassIVE
6581	98.07	GNPS/MassIVE
6582	98.07	GNPS/MassIVE
6583	98.07	GNPS/MassIVE
6584	98.07	GNPS/MassIVE
6585	98.07	GNPS/MassIVE
6586	98.07	GNPS/MassIVE
6587	98.07	GNPS/MassIVE
6588	98.07	GNPS/MassIVE
6589	98.07	GNPS/MassIVE
6590	98.07	GNPS/MassIVE
6591	98.07	GNPS/MassIVE
6592	98.07	GNPS/MassIVE
6593	98.07	GNPS/MassIVE
6594	98.07	GNPS/MassIVE
6595	98.07	GNPS/MassIVE
6596	98.07	GNPS/MassIVE
6597	98.07	GNPS/MassIVE
6598	98.07	GNPS/MassIVE
6599	98.07	GNPS/MassIVE
6600	98.07	GNPS/MassIVE
6601	98.07	GNPS/MassIVE
6602	98.07	GNPS/MassIVE
6603	98.07	GNPS/MassIVE
6604	98.07	GNPS/MassIVE
6605	98.07	GNPS/MassIVE
6606	98.07	GNPS/MassIVE
6607	98.07	GNPS/MassIVE
6608	98.07	GNPS/MassIVE
6609	98.07	GNPS/MassIVE
6610	98.07	GNPS/MassIVE
6611	98.07	GNPS/MassIVE
6612	98.07	GNPS/MassIVE
6613	98.07	GNPS/MassIVE
6614	98.07	GNPS/MassIVE
6615	98.07	GNPS/MassIVE
6616	98.07	GNPS/MassIVE
6617	98.07	GNPS/MassIVE
6618	98.07	GNPS/MassIVE
6619	98.07	GNPS/MassIVE
6620	98.07	GNPS/MassIVE
6621	98.07	GNPS/MassIVE
6622	98.07	MetaboLights
6623	98.07	MetaboLights
6624	98.07	GNPS/MassIVE
6625	98.07	GNPS/MassIVE
6626	98.07	GNPS/MassIVE
6627	98.07	GNPS/MassIVE
6628	98.07	GNPS/MassIVE
6629	98.07	GNPS/MassIVE
6630	98.07	GNPS/MassIVE
6631	98.07	GNPS/MassIVE
6632	98.07	GNPS/MassIVE
6633	98.07	GNPS/MassIVE
6634	98.07	GNPS/MassIVE
6635	98.07	GNPS/MassIVE
6636	98.07	GNPS/MassIVE
6637	98.07	GNPS/MassIVE
6638	98.07	GNPS/MassIVE
6639	98.07	GNPS/MassIVE
6640	98.07	GNPS/MassIVE
6641	98.07	GNPS/MassIVE
6642	98.07	GNPS/MassIVE
6643	98.07	GNPS/MassIVE
6644	98.07	GNPS/MassIVE
6645	98.07	GNPS/MassIVE
6646	98.07	GNPS/MassIVE
6647	98.07	GNPS/MassIVE
6648	98.07	GNPS/MassIVE
6649	98.07	GNPS/MassIVE
6650	98.07	GNPS/MassIVE
6651	98.07	GNPS/MassIVE
6652	98.07	GNPS/MassIVE
6653	98.07	GNPS/MassIVE
6654	98.07	GNPS/MassIVE
6655	98.07	GNPS/MassIVE
6656	98.07	GNPS/MassIVE
6657	98.07	GNPS/MassIVE
6658	98.07	GNPS/MassIVE
6659	98.07	GNPS/MassIVE
6660	98.07	GNPS/MassIVE
6661	98.07	GNPS/MassIVE
6662	98.07	GNPS/MassIVE
6663	98.07	GNPS/MassIVE
6664	98.07	GNPS/MassIVE
6665	98.07	GNPS/MassIVE
6666	98.07	GNPS/MassIVE
6667	98.07	GNPS/MassIVE
6668	98.07	GNPS/MassIVE
6669	98.07	GNPS/MassIVE
6670	98.07	GNPS/MassIVE
6671	98.07	GNPS/MassIVE
6672	98.07	GNPS/MassIVE
6673	98.07	GNPS/MassIVE
6674	98.07	GNPS/MassIVE
6675	98.07	GNPS/MassIVE
6676	98.07	GNPS/MassIVE
6677	98.07	GNPS/MassIVE
6678	98.07	GNPS/MassIVE
6679	98.07	GNPS/MassIVE
6680	98.07	GNPS/MassIVE
6681	98.07	GNPS/MassIVE
6682	98.07	GNPS/MassIVE
6683	98.07	GNPS/MassIVE
6684	98.07	GNPS/MassIVE
6685	98.07	GNPS/MassIVE
6686	98.07	GNPS/MassIVE
6687	98.07	GNPS/MassIVE
6688	98.07	GNPS/MassIVE
6689	98.07	GNPS/MassIVE
6690	98.07	GNPS/MassIVE
6691	98.07	GNPS/MassIVE
6692	98.07	GNPS/MassIVE
6693	98.07	GNPS/MassIVE
6694	98.07	GNPS/MassIVE
6695	98.07	GNPS/MassIVE
6696	98.07	GNPS/MassIVE
6697	98.07	GNPS/MassIVE
6698	98.07	GNPS/MassIVE
6699	98.07	GNPS/MassIVE
6700	98.07	GNPS/MassIVE
6701	98.07	GNPS/MassIVE
6702	98.07	GNPS/MassIVE
6703	98.07	GNPS/MassIVE
6704	98.07	GNPS/MassIVE
6705	98.07	GNPS/MassIVE
6706	98.07	GNPS/MassIVE
6707	98.07	GNPS/MassIVE
6708	98.07	GNPS/MassIVE
6709	98.07	GNPS/MassIVE
6710	98.07	GNPS/MassIVE
6711	98.07	GNPS/MassIVE
6712	98.07	GNPS/MassIVE
6713	98.07	GNPS/MassIVE
6714	98.07	GNPS/MassIVE
6715	98.07	GNPS/MassIVE
6716	98.07	GNPS/MassIVE
6717	98.07	GNPS/MassIVE
6718	98.07	GNPS/MassIVE
6719	98.07	GNPS/MassIVE
6720	98.07	GNPS/MassIVE
6721	98.07	GNPS/MassIVE
6722	98.07	GNPS/MassIVE
6723	98.07	GNPS/MassIVE
6724	98.07	GNPS/MassIVE
6725	98.07	GNPS/MassIVE
6726	98.07	GNPS/MassIVE
6727	98.07	GNPS/MassIVE
6728	98.07	GNPS/MassIVE
6729	98.07	GNPS/MassIVE
6730	98.07	GNPS/MassIVE
6731	98.07	GNPS/MassIVE
6732	98.07	GNPS/MassIVE
6733	98.07	GNPS/MassIVE
6734	98.07	GNPS/MassIVE
6735	98.07	GNPS/MassIVE
6736	98.07	GNPS/MassIVE
6737	98.07	GNPS/MassIVE
6738	98.07	GNPS/MassIVE
6739	98.07	GNPS/MassIVE
6740	98.07	GNPS/MassIVE
6741	98.07	GNPS/MassIVE
6742	98.07	GNPS/MassIVE
6743	98.07	GNPS/MassIVE
6744	98.07	GNPS/MassIVE
6745	98.07	GNPS/MassIVE
6746	98.07	GNPS/MassIVE
6747	98.07	GNPS/MassIVE
6748	98.07	GNPS/MassIVE
6749	98.07	GNPS/MassIVE
6750	98.07	GNPS/MassIVE
6751	98.07	GNPS/MassIVE
6752	98.07	GNPS/MassIVE
6753	98.07	GNPS/MassIVE
6754	98.07	GNPS/MassIVE
6755	98.07	GNPS/MassIVE
6756	98.07	GNPS/MassIVE
6757	98.07	GNPS/MassIVE
6758	98.07	GNPS/MassIVE
6759	98.07	GNPS/MassIVE
6760	98.07	GNPS/MassIVE
6761	98.07	GNPS/MassIVE
6762	98.07	GNPS/MassIVE
6763	98.07	GNPS/MassIVE
6764	98.07	GNPS/MassIVE
6765	98.07	GNPS/MassIVE
6766	98.07	GNPS/MassIVE
6767	98.07	GNPS/MassIVE
6768	98.07	GNPS/MassIVE
6769	98.07	GNPS/MassIVE
6770	98.07	GNPS/MassIVE
6771	98.07	GNPS/MassIVE
6772	98.07	GNPS/MassIVE
6773	98.07	GNPS/MassIVE
6774	98.07	GNPS/MassIVE
6775	98.07	GNPS/MassIVE
6776	98.07	GNPS/MassIVE
6777	98.07	GNPS/MassIVE
6778	98.07	GNPS/MassIVE
6779	98.07	GNPS/MassIVE
6780	98.07	GNPS/MassIVE
6781	98.07	GNPS/MassIVE
6782	98.07	GNPS/MassIVE
6783	98.07	GNPS/MassIVE
6784	98.07	GNPS/MassIVE
6785	98.07	GNPS/MassIVE
6786	98.07	GNPS/MassIVE
6787	98.07	GNPS/MassIVE
6788	98.07	GNPS/MassIVE
6789	98.07	GNPS/MassIVE
6790	98.07	GNPS/MassIVE
6791	98.07	GNPS/MassIVE
6792	98.07	GNPS/MassIVE
6793	98.07	GNPS/MassIVE
6794	98.07	GNPS/MassIVE
6795	98.07	GNPS/MassIVE
6796	98.07	GNPS/MassIVE
6797	98.07	GNPS/MassIVE
6798	98.07	GNPS/MassIVE
6799	98.07	GNPS/MassIVE
6800	98.07	GNPS/MassIVE
6801	98.07	GNPS/MassIVE
6802	98.07	GNPS/MassIVE
6803	98.07	GNPS/MassIVE
6804	98.07	GNPS/MassIVE
6805	98.07	GNPS/MassIVE
6806	98.07	GNPS/MassIVE
6807	98.07	GNPS/MassIVE
6808	98.07	GNPS/MassIVE
6809	98.07	GNPS/MassIVE
6810	98.07	GNPS/MassIVE
6811	98.07	GNPS/MassIVE
6812	98.07	GNPS/MassIVE
6813	98.07	GNPS/MassIVE
6814	98.07	GNPS/MassIVE
6815	98.07	GNPS/MassIVE
6816	98.07	GNPS/MassIVE
6817	98.07	GNPS/MassIVE
6818	98.07	GNPS/MassIVE
6819	98.07	GNPS/MassIVE
6820	98.07	GNPS/MassIVE
6821	98.07	GNPS/MassIVE
6822	98.07	GNPS/MassIVE
6823	98.07	GNPS/MassIVE
6824	98.07	GNPS/MassIVE
6825	98.07	GNPS/MassIVE
6826	98.07	GNPS/MassIVE
6827	98.07	GNPS/MassIVE
6828	98.07	GNPS/MassIVE
6829	98.07	GNPS/MassIVE
6830	98.07	GNPS/MassIVE
6831	98.07	GNPS/MassIVE
6832	98.07	GNPS/MassIVE
6833	98.07	GNPS/MassIVE
6834	98.07	GNPS/MassIVE
6835	98.07	GNPS/MassIVE
6836	98.07	GNPS/MassIVE
6837	98.07	GNPS/MassIVE
6838	98.07	GNPS/MassIVE
6839	98.07	GNPS/MassIVE
6840	98.07	GNPS/MassIVE
6841	98.07	GNPS/MassIVE
6842	98.07	GNPS/MassIVE
6843	98.07	GNPS/MassIVE
6844	98.07	GNPS/MassIVE
6845	98.07	GNPS/MassIVE
6846	98.07	GNPS/MassIVE
6847	98.07	GNPS/MassIVE
6848	98.07	GNPS/MassIVE
6849	98.07	GNPS/MassIVE
6850	98.07	GNPS/MassIVE
6851	98.07	GNPS/MassIVE
6852	98.07	GNPS/MassIVE
6853	98.07	GNPS/MassIVE
6854	98.07	GNPS/MassIVE
6855	98.07	GNPS/MassIVE
6856	98.07	GNPS/MassIVE
6857	98.07	GNPS/MassIVE
6858	98.07	GNPS/MassIVE
6859	98.07	GNPS/MassIVE
6860	98.07	GNPS/MassIVE
6861	98.07	GNPS/MassIVE
6862	98.07	GNPS/MassIVE
6863	98.07	GNPS/MassIVE
6864	98.07	GNPS/MassIVE
6865	98.07	GNPS/MassIVE
6866	98.07	GNPS/MassIVE
6867	98.07	GNPS/MassIVE
6868	98.07	GNPS/MassIVE
6869	98.07	GNPS/MassIVE
6870	98.07	GNPS/MassIVE
6871	98.07	GNPS/MassIVE
6872	98.07	GNPS/MassIVE
6873	98.07	GNPS/MassIVE
6874	98.07	GNPS/MassIVE
6875	98.07	GNPS/MassIVE
6876	98.07	GNPS/MassIVE
6877	98.07	GNPS/MassIVE
6878	98.07	GNPS/MassIVE
6879	98.07	GNPS/MassIVE
6880	98.07	GNPS/MassIVE
6881	98.07	GNPS/MassIVE
6882	98.07	GNPS/MassIVE
6883	98.07	GNPS/MassIVE
6884	98.07	GNPS/MassIVE
6885	98.07	GNPS/MassIVE
6886	98.07	GNPS/MassIVE
6887	98.07	GNPS/MassIVE
6888	98.07	GNPS/MassIVE
6889	98.07	GNPS/MassIVE
6890	98.07	GNPS/MassIVE
6891	98.07	GNPS/MassIVE
6892	98.07	GNPS/MassIVE
6893	98.07	GNPS/MassIVE
6894	98.07	GNPS/MassIVE
6895	98.07	GNPS/MassIVE
6896	98.07	GNPS/MassIVE
6897	98.07	GNPS/MassIVE
6898	98.07	GNPS/MassIVE
6899	98.07	GNPS/MassIVE
6900	98.07	GNPS/MassIVE
6901	98.07	GNPS/MassIVE
6902	98.07	GNPS/MassIVE
6903	98.07	GNPS/MassIVE
6904	98.07	GNPS/MassIVE
6905	98.07	GNPS/MassIVE
6906	98.07	GNPS/MassIVE
6907	98.07	GNPS/MassIVE
6908	98.07	GNPS/MassIVE
6909	98.07	GNPS/MassIVE
6910	98.07	GNPS/MassIVE
6911	98.07	GNPS/MassIVE
6912	98.07	GNPS/MassIVE
6913	98.07	GNPS/MassIVE
6914	98.07	GNPS/MassIVE
6915	98.07	GNPS/MassIVE
6916	98.07	GNPS/MassIVE
6917	98.07	GNPS/MassIVE
6918	98.07	GNPS/MassIVE
6919	98.07	GNPS/MassIVE
6920	98.07	GNPS/MassIVE
6921	98.07	GNPS/MassIVE
6922	98.07	GNPS/MassIVE
6923	98.07	GNPS/MassIVE
6924	98.07	GNPS/MassIVE
6925	98.07	GNPS/MassIVE
6926	98.07	GNPS/MassIVE
6927	98.07	GNPS/MassIVE
6928	98.07	GNPS/MassIVE
6929	98.07	GNPS/MassIVE
6930	98.07	GNPS/MassIVE
6931	98.07	GNPS/MassIVE
6932	98.07	GNPS/MassIVE
6933	98.07	GNPS/MassIVE
6934	98.07	GNPS/MassIVE
6935	98.07	GNPS/MassIVE
6936	98.07	GNPS/MassIVE
6937	98.07	GNPS/MassIVE
6938	98.07	GNPS/MassIVE
6939	98.07	GNPS/MassIVE
6940	98.07	GNPS/MassIVE
6941	98.07	GNPS/MassIVE
6942	98.07	GNPS/MassIVE
6943	98.07	GNPS/MassIVE
6944	98.07	GNPS/MassIVE
6945	98.07	GNPS/MassIVE
6946	98.07	GNPS/MassIVE
6947	98.07	GNPS/MassIVE
6948	98.07	GNPS/MassIVE
6949	98.07	GNPS/MassIVE
6950	98.07	GNPS/MassIVE
6951	98.07	GNPS/MassIVE
6952	98.07	GNPS/MassIVE
6953	98.07	GNPS/MassIVE
6954	98.07	GNPS/MassIVE
6955	98.07	GNPS/MassIVE
6956	98.07	GNPS/MassIVE
6957	98.07	GNPS/MassIVE
6958	98.07	GNPS/MassIVE
6959	98.07	GNPS/MassIVE
6960	98.07	GNPS/MassIVE
6961	98.07	GNPS/MassIVE
6962	98.07	GNPS/MassIVE
6963	98.07	GNPS/MassIVE
6964	98.07	GNPS/MassIVE
6965	98.07	GNPS/MassIVE
6966	98.07	GNPS/MassIVE
6967	98.07	GNPS/MassIVE
6968	98.07	GNPS/MassIVE
6969	98.07	GNPS/MassIVE
6970	98.07	GNPS/MassIVE
6971	98.07	GNPS/MassIVE
6972	98.07	GNPS/MassIVE
6973	98.07	GNPS/MassIVE
6974	98.07	GNPS/MassIVE
6975	98.07	GNPS/MassIVE
6976	98.07	GNPS/MassIVE
6977	98.07	GNPS/MassIVE
6978	98.07	GNPS/MassIVE
6979	98.07	GNPS/MassIVE
6980	98.07	GNPS/MassIVE
6981	98.07	GNPS/MassIVE
6982	98.07	GNPS/MassIVE
6983	98.07	GNPS/MassIVE
6984	98.07	GNPS/MassIVE
6985	98.07	GNPS/MassIVE
6986	98.07	GNPS/MassIVE
6987	98.07	GNPS/MassIVE
6988	98.07	GNPS/MassIVE
6989	98.07	GNPS/MassIVE
6990	98.07	GNPS/MassIVE
6991	98.07	GNPS/MassIVE
6992	98.07	GNPS/MassIVE
6993	98.07	GNPS/MassIVE
6994	98.07	GNPS/MassIVE
6995	98.07	GNPS/MassIVE
6996	98.07	GNPS/MassIVE
6997	98.07	GNPS/MassIVE
6998	98.07	GNPS/MassIVE
6999	98.07	GNPS/MassIVE
7000	98.07	GNPS/MassIVE
7001	98.07	GNPS/MassIVE
7002	98.07	GNPS/MassIVE
7003	98.07	GNPS/MassIVE
7004	98.07	GNPS/MassIVE
7005	98.07	GNPS/MassIVE
7006	98.07	GNPS/MassIVE
7007	98.07	GNPS/MassIVE
7008	98.07	GNPS/MassIVE
7009	98.07	GNPS/MassIVE
7010	98.07	GNPS/MassIVE
7011	98.07	GNPS/MassIVE
7012	98.07	GNPS/MassIVE
7013	98.07	GNPS/MassIVE
7014	98.07	GNPS/MassIVE
7015	98.07	GNPS/MassIVE
7016	98.07	GNPS/MassIVE
7017	98.07	GNPS/MassIVE
7018	98.07	GNPS/MassIVE
7019	98.07	GNPS/MassIVE
7020	98.07	GNPS/MassIVE
7021	98.07	GNPS/MassIVE
7022	98.07	GNPS/MassIVE
7023	98.07	GNPS/MassIVE
7024	98.07	GNPS/MassIVE
7025	98.07	GNPS/MassIVE
7026	98.07	GNPS/MassIVE
7027	98.07	GNPS/MassIVE
7028	98.07	GNPS/MassIVE
7029	98.07	GNPS/MassIVE
7030	98.07	GNPS/MassIVE
7031	98.07	GNPS/MassIVE
7032	98.07	GNPS/MassIVE
7033	98.07	GNPS/MassIVE
7034	98.07	GNPS/MassIVE
7035	98.07	GNPS/MassIVE
7036	98.07	GNPS/MassIVE
7037	98.07	GNPS/MassIVE
7038	98.07	GNPS/MassIVE
7039	98.07	GNPS/MassIVE
7040	98.07	GNPS/MassIVE
7041	98.07	GNPS/MassIVE
7042	98.07	GNPS/MassIVE
7043	98.07	GNPS/MassIVE
7044	98.07	GNPS/MassIVE
7045	98.07	GNPS/MassIVE
7046	98.07	GNPS/MassIVE
7047	98.07	GNPS/MassIVE
7048	98.07	GNPS/MassIVE
7049	98.07	GNPS/MassIVE
7050	98.07	GNPS/MassIVE
7051	98.07	GNPS/MassIVE
7052	98.07	GNPS/MassIVE
7053	98.07	GNPS/MassIVE
7054	98.07	GNPS/MassIVE
7055	98.07	GNPS/MassIVE
7056	98.07	GNPS/MassIVE
7057	98.07	GNPS/MassIVE
7058	98.07	GNPS/MassIVE
7059	98.07	GNPS/MassIVE
7060	98.07	GNPS/MassIVE
7061	98.07	GNPS/MassIVE
7062	98.07	GNPS/MassIVE
7063	98.07	GNPS/MassIVE
7064	98.07	GNPS/MassIVE
7065	98.07	GNPS/MassIVE
7066	98.07	GNPS/MassIVE
7067	98.07	GNPS/MassIVE
7068	98.07	GNPS/MassIVE
7069	98.07	GNPS/MassIVE
7070	98.07	GNPS/MassIVE
7071	98.07	GNPS/MassIVE
7072	98.07	GNPS/MassIVE
7073	98.07	GNPS/MassIVE
7074	98.07	GNPS/MassIVE
7075	98.07	GNPS/MassIVE
7076	98.07	GNPS/MassIVE
7077	98.07	GNPS/MassIVE
7078	98.07	GNPS/MassIVE
7079	98.07	GNPS/MassIVE
7080	98.07	GNPS/MassIVE
7081	98.07	GNPS/MassIVE
7082	98.07	GNPS/MassIVE
7083	98.07	GNPS/MassIVE
7084	98.07	GNPS/MassIVE
7085	98.07	GNPS/MassIVE
7086	98.07	GNPS/MassIVE
7087	98.07	GNPS/MassIVE
7088	98.07	GNPS/MassIVE
7089	98.07	GNPS/MassIVE
7090	98.07	GNPS/MassIVE
7091	98.07	GNPS/MassIVE
7092	98.07	GNPS/MassIVE
7093	98.07	Metabolomics Workbench
7094	98.07	GNPS/MassIVE
7095	98.07	GNPS/MassIVE
7096	98.07	GNPS/MassIVE
7097	98.07	GNPS/MassIVE
7098	98.07	GNPS/MassIVE
7099	98.07	GNPS/MassIVE
7100	98.07	GNPS/MassIVE
7101	98.07	GNPS/MassIVE
7102	98.07	GNPS/MassIVE
7103	98.07	GNPS/MassIVE
7104	98.07	GNPS/MassIVE
7105	98.07	GNPS/MassIVE
7106	98.07	GNPS/MassIVE
7107	98.07	GNPS/MassIVE
7108	98.07	GNPS/MassIVE
7109	98.07	GNPS/MassIVE
7110	98.07	GNPS/MassIVE
7111	98.07	GNPS/MassIVE
7112	98.07	GNPS/MassIVE
7113	98.07	GNPS/MassIVE
7114	98.07	GNPS/MassIVE
7115	98.07	GNPS/MassIVE
7116	98.07	GNPS/MassIVE
7117	98.07	GNPS/MassIVE
7118	98.07	GNPS/MassIVE
7119	98.07	GNPS/MassIVE
7120	98.07	GNPS/MassIVE
7121	98.07	GNPS/MassIVE
7122	98.07	GNPS/MassIVE
