scan	delta_mass_r2	repository
191	40.94	GNPS/MassIVE
192	40.94	GNPS/MassIVE
193	40.94	GNPS/MassIVE
194	40.94	GNPS/MassIVE
195	40.94	GNPS/MassIVE
196	40.94	GNPS/MassIVE
197	40.94	GNPS/MassIVE
198	40.94	GNPS/MassIVE
199	40.94	GNPS/MassIVE
200	40.94	GNPS/MassIVE
201	40.94	GNPS/MassIVE
202	40.94	GNPS/MassIVE
203	40.94	GNPS/MassIVE
204	40.94	GNPS/MassIVE
205	40.94	GNPS/MassIVE
206	40.94	GNPS/MassIVE
207	40.94	GNPS/MassIVE
208	40.94	GNPS/MassIVE
209	40.94	GNPS/MassIVE
210	40.94	GNPS/MassIVE
211	40.94	GNPS/MassIVE
212	40.94	GNPS/MassIVE
213	40.94	GNPS/MassIVE
214	40.94	GNPS/MassIVE
215	40.94	GNPS/MassIVE
216	40.94	GNPS/MassIVE
217	40.94	GNPS/MassIVE
218	40.94	GNPS/MassIVE
219	40.94	GNPS/MassIVE
220	40.94	GNPS/MassIVE
221	40.94	GNPS/MassIVE
222	40.94	GNPS/MassIVE
223	40.94	GNPS/MassIVE
224	40.94	GNPS/MassIVE
225	40.94	GNPS/MassIVE
226	40.94	GNPS/MassIVE
227	40.94	GNPS/MassIVE
228	40.94	GNPS/MassIVE
229	40.94	GNPS/MassIVE
230	40.94	GNPS/MassIVE
231	40.94	GNPS/MassIVE
232	40.94	GNPS/MassIVE
233	40.94	GNPS/MassIVE
234	40.94	GNPS/MassIVE
235	40.94	GNPS/MassIVE
236	40.94	GNPS/MassIVE
237	40.94	GNPS/MassIVE
238	40.94	GNPS/MassIVE
239	40.94	MetaboLights
240	40.94	GNPS/MassIVE
241	40.94	GNPS/MassIVE
242	40.94	GNPS/MassIVE
243	40.94	GNPS/MassIVE
244	40.94	GNPS/MassIVE
245	40.94	GNPS/MassIVE
246	40.94	GNPS/MassIVE
247	40.94	GNPS/MassIVE
248	40.94	GNPS/MassIVE
249	40.94	GNPS/MassIVE
250	40.94	GNPS/MassIVE
251	40.94	GNPS/MassIVE
252	40.94	GNPS/MassIVE
253	40.94	GNPS/MassIVE
254	40.94	GNPS/MassIVE
255	40.94	GNPS/MassIVE
256	40.94	GNPS/MassIVE
257	40.94	GNPS/MassIVE
258	40.94	GNPS/MassIVE
259	40.94	GNPS/MassIVE
260	40.94	GNPS/MassIVE
261	40.94	GNPS/MassIVE
262	40.94	GNPS/MassIVE
263	40.94	GNPS/MassIVE
264	40.94	GNPS/MassIVE
265	40.94	GNPS/MassIVE
266	40.94	GNPS/MassIVE
267	40.94	GNPS/MassIVE
268	40.94	GNPS/MassIVE
269	40.94	GNPS/MassIVE
270	40.94	GNPS/MassIVE
271	40.94	GNPS/MassIVE
272	40.94	GNPS/MassIVE
273	40.94	GNPS/MassIVE
274	40.94	GNPS/MassIVE
275	40.94	GNPS/MassIVE
276	40.94	GNPS/MassIVE
277	40.94	GNPS/MassIVE
278	40.94	GNPS/MassIVE
279	40.94	GNPS/MassIVE
280	40.94	GNPS/MassIVE
281	40.94	GNPS/MassIVE
282	40.94	GNPS/MassIVE
283	40.94	GNPS/MassIVE
284	40.94	GNPS/MassIVE
285	40.94	GNPS/MassIVE
286	40.94	GNPS/MassIVE
287	40.94	GNPS/MassIVE
288	40.94	GNPS/MassIVE
289	40.94	GNPS/MassIVE
290	40.94	GNPS/MassIVE
291	40.94	GNPS/MassIVE
292	40.94	GNPS/MassIVE
293	40.94	GNPS/MassIVE
294	40.94	GNPS/MassIVE
295	40.94	GNPS/MassIVE
296	40.94	GNPS/MassIVE
297	40.94	GNPS/MassIVE
298	40.94	GNPS/MassIVE
299	40.94	GNPS/MassIVE
300	40.94	GNPS/MassIVE
301	40.94	GNPS/MassIVE
302	40.94	GNPS/MassIVE
303	40.94	GNPS/MassIVE
304	40.94	GNPS/MassIVE
305	40.94	GNPS/MassIVE
306	40.94	GNPS/MassIVE
307	40.94	GNPS/MassIVE
308	40.94	GNPS/MassIVE
309	40.94	GNPS/MassIVE
310	40.94	GNPS/MassIVE
311	40.94	GNPS/MassIVE
312	40.94	GNPS/MassIVE
313	40.94	GNPS/MassIVE
314	40.94	GNPS/MassIVE
315	40.94	GNPS/MassIVE
316	40.95	GNPS/MassIVE
317	40.95	GNPS/MassIVE
318	40.97	GNPS/MassIVE
319	40.97	MetaboLights
320	40.97	GNPS/MassIVE
321	40.97	GNPS/MassIVE
322	40.97	GNPS/MassIVE
323	40.97	MetaboLights
324	40.98	GNPS/MassIVE
325	40.98	GNPS/MassIVE
326	40.98	GNPS/MassIVE
327	40.98	GNPS/MassIVE
328	40.98	GNPS/MassIVE
329	40.98	GNPS/MassIVE
330	40.98	GNPS/MassIVE
331	40.98	GNPS/MassIVE
332	40.99	GNPS/MassIVE
333	40.99	GNPS/MassIVE
334	40.99	GNPS/MassIVE
335	40.99	GNPS/MassIVE
336	40.99	GNPS/MassIVE
337	40.99	GNPS/MassIVE
338	41	GNPS/MassIVE
339	41.01	GNPS/MassIVE
340	41.02	GNPS/MassIVE
341	41.03	GNPS/MassIVE
342	41.03	GNPS/MassIVE
343	41.03	Metabolomics Workbench
344	41.03	GNPS/MassIVE
345	41.03	GNPS/MassIVE
346	41.03	GNPS/MassIVE
347	41.03	MetaboLights
348	41.03	Metabolomics Workbench
349	41.03	GNPS/MassIVE
350	41.03	GNPS/MassIVE
351	41.03	GNPS/MassIVE
352	41.03	GNPS/MassIVE
353	41.03	GNPS/MassIVE
354	41.03	GNPS/MassIVE
355	41.03	MetaboLights
356	41.03	GNPS/MassIVE
357	41.03	GNPS/MassIVE
358	41.03	GNPS/MassIVE
359	41.03	GNPS/MassIVE
360	41.03	GNPS/MassIVE
361	41.03	GNPS/MassIVE
362	41.03	GNPS/MassIVE
363	41.03	GNPS/MassIVE
364	41.03	GNPS/MassIVE
365	41.04	GNPS/MassIVE
366	41.04	GNPS/MassIVE
367	41.04	GNPS/MassIVE
368	41.04	GNPS/MassIVE
369	41.04	GNPS/MassIVE
370	41.04	GNPS/MassIVE
371	41.04	GNPS/MassIVE
372	41.04	GNPS/MassIVE
373	41.04	GNPS/MassIVE
374	41.04	GNPS/MassIVE
375	41.11	Metabolomics Workbench
376	41.11	GNPS/MassIVE
377	41.11	GNPS/MassIVE
378	41.11	MetaboLights
379	41.11	GNPS/MassIVE
380	41.11	GNPS/MassIVE
381	41.38	MetaboLights
382	41.38	MetaboLights
383	41.38	MetaboLights
384	41.38	MetaboLights
385	41.38	Metabolomics Workbench
386	41.38	MetaboLights
387	41.38	MetaboLights
388	41.39	MetaboLights
389	41.39	MetaboLights
390	41.39	MetaboLights
391	41.45	GNPS/MassIVE
392	41.45	GNPS/MassIVE
393	41.45	GNPS/MassIVE
394	41.45	GNPS/MassIVE
395	41.49	GNPS/MassIVE
396	41.63	GNPS/MassIVE
397	41.63	GNPS/MassIVE
398	41.71	GNPS/MassIVE
399	41.71	GNPS/MassIVE
400	41.71	Metabolomics Workbench
401	41.82	Metabolomics Workbench
402	41.82	Metabolomics Workbench
403	41.82	GNPS/MassIVE
404	41.84	MetaboLights
405	41.84	MetaboLights
406	41.85	MetaboLights
407	41.85	MetaboLights
408	41.86	MetaboLights
409	41.86	GNPS/MassIVE
410	41.89	Metabolomics Workbench
411	41.9	GNPS/MassIVE
412	41.9	GNPS/MassIVE
413	41.91	GNPS/MassIVE
414	41.91	GNPS/MassIVE
415	41.91	GNPS/MassIVE
416	41.91	GNPS/MassIVE
417	41.91	GNPS/MassIVE
418	41.92	GNPS/MassIVE
419	41.91	Metabolomics Workbench
420	41.92	GNPS/MassIVE
421	41.92	GNPS/MassIVE
422	41.92	GNPS/MassIVE
423	41.93	GNPS/MassIVE
424	41.93	GNPS/MassIVE
425	41.93	GNPS/MassIVE
426	41.93	GNPS/MassIVE
427	41.93	GNPS/MassIVE
428	41.93	GNPS/MassIVE
429	41.93	GNPS/MassIVE
430	41.93	GNPS/MassIVE
431	41.93	GNPS/MassIVE
432	41.93	Metabolomics Workbench
433	41.93	Metabolomics Workbench
434	41.94	GNPS/MassIVE
435	41.94	GNPS/MassIVE
436	41.94	GNPS/MassIVE
437	41.94	GNPS/MassIVE
438	41.94	GNPS/MassIVE
439	41.94	GNPS/MassIVE
440	41.94	GNPS/MassIVE
441	41.94	GNPS/MassIVE
442	41.94	GNPS/MassIVE
443	41.94	GNPS/MassIVE
444	41.94	GNPS/MassIVE
445	41.94	MetaboLights
446	41.94	GNPS/MassIVE
447	41.94	GNPS/MassIVE
448	41.94	GNPS/MassIVE
449	41.94	GNPS/MassIVE
450	41.94	GNPS/MassIVE
451	41.94	GNPS/MassIVE
452	41.94	GNPS/MassIVE
453	41.94	GNPS/MassIVE
454	41.94	GNPS/MassIVE
455	41.94	GNPS/MassIVE
456	41.94	GNPS/MassIVE
457	41.94	GNPS/MassIVE
458	41.94	GNPS/MassIVE
459	41.94	GNPS/MassIVE
460	41.94	GNPS/MassIVE
461	41.94	GNPS/MassIVE
462	41.94	GNPS/MassIVE
463	41.94	GNPS/MassIVE
464	41.94	GNPS/MassIVE
465	41.94	GNPS/MassIVE
466	41.94	GNPS/MassIVE
467	41.94	MetaboLights
468	41.95	MetaboLights
469	41.95	GNPS/MassIVE
470	41.95	GNPS/MassIVE
471	41.95	GNPS/MassIVE
472	41.95	GNPS/MassIVE
473	41.95	GNPS/MassIVE
474	41.95	GNPS/MassIVE
475	41.95	GNPS/MassIVE
476	41.95	GNPS/MassIVE
477	41.95	Metabolomics Workbench
478	41.95	GNPS/MassIVE
479	41.95	GNPS/MassIVE
480	41.95	GNPS/MassIVE
481	41.95	GNPS/MassIVE
482	41.95	GNPS/MassIVE
483	41.95	GNPS/MassIVE
484	41.95	GNPS/MassIVE
485	41.95	Metabolomics Workbench
486	41.95	GNPS/MassIVE
487	41.95	GNPS/MassIVE
488	41.95	GNPS/MassIVE
489	41.95	GNPS/MassIVE
490	41.95	GNPS/MassIVE
491	41.95	GNPS/MassIVE
492	41.95	GNPS/MassIVE
493	41.95	GNPS/MassIVE
494	41.95	GNPS/MassIVE
495	41.95	GNPS/MassIVE
496	41.95	GNPS/MassIVE
497	41.95	GNPS/MassIVE
498	41.95	GNPS/MassIVE
499	41.95	GNPS/MassIVE
500	41.95	GNPS/MassIVE
501	41.96	Metabolomics Workbench
502	41.95	GNPS/MassIVE
503	41.95	GNPS/MassIVE
504	41.95	GNPS/MassIVE
505	41.96	Metabolomics Workbench
506	41.96	Metabolomics Workbench
507	41.96	GNPS/MassIVE
508	41.96	GNPS/MassIVE
509	41.96	GNPS/MassIVE
510	41.96	GNPS/MassIVE
511	41.96	GNPS/MassIVE
512	41.96	GNPS/MassIVE
513	41.96	GNPS/MassIVE
514	41.96	GNPS/MassIVE
515	41.96	GNPS/MassIVE
516	41.96	GNPS/MassIVE
517	41.96	GNPS/MassIVE
518	41.96	Metabolomics Workbench
519	41.96	Metabolomics Workbench
520	41.98	GNPS/MassIVE
521	41.97	GNPS/MassIVE
522	41.98	MetaboLights
523	41.98	MetaboLights
524	41.99	MetaboLights
525	41.97	GNPS/MassIVE
526	41.97	GNPS/MassIVE
527	41.97	GNPS/MassIVE
528	41.97	GNPS/MassIVE
529	41.97	GNPS/MassIVE
530	41.97	GNPS/MassIVE
531	41.97	GNPS/MassIVE
