counts	precmz	delta_mass	delta_mass_r2	delta_MF_final	delta_MF_unique_combination
2	426.21719	264.10469	264.1	C8H16N4O6	CHNO
2	431.2179	269.1054	269.11	C13H19NO3S	CHNOS
6	431.22113	269.10863	269.11	C13H19NO3S	CHNOS
38	431.22174	269.10924	269.11	C13H19NO3S	CHNOS
128	431.22409	269.11159	269.11	C13H19NO3S	CHNOS
25	431.22192	269.10942	269.11	C13H19NO3S	CHNOS
23	431.22131	269.10881	269.11	C13H19NO3S	CHNOS
1	431.22607	269.11357	269.11	C13H19NO3S	CHNOS
2	431.22043	269.10793	269.11	C13H19NO3S	CHNOS
2	431.22073	269.10823	269.11	C13H19NO3S	CHNOS
10	431.22104	269.10854	269.11	C13H19NO3S	CHNOS
2	431.22076	269.10826	269.11	C13H19NO3S	CHNOS
4	431.22095	269.10845	269.11	C13H19NO3S	CHNOS
2	431.22098	269.10848	269.11	C13H19NO3S	CHNOS
4	431.22101	269.10851	269.11	C13H19NO3S	CHNOS
4	431.22119	269.10869	269.11	C13H19NO3S	CHNOS
1469	433.23679	271.12429	271.12	C13H21NO3S	CHNOS
2	433.23517	271.12267	271.12	C13H21NO3S	CHNOS
4	433.23587	271.12337	271.12	C13H21NO3S	CHNOS
4	433.23596	271.12346	271.12	C13H21NO3S	CHNOS
2	433.23596	271.12346	271.12	C13H21NO3S	CHNOS
2	433.23608	271.12358	271.12	C13H21NO3S	CHNOS
2	433.23621	271.12371	271.12	C13H21NO3S	CHNOS
2	433.23615	271.12365	271.12	C13H21NO3S	CHNOS
2	433.23621	271.12371	271.12	C13H21NO3S	CHNOS
2	433.23627	271.12377	271.12	C13H21NO3S	CHNOS
2	433.23621	271.12371	271.12	C13H21NO3S	CHNOS
2	433.23627	271.12377	271.12	C13H21NO3S	CHNOS
2	433.23627	271.12377	271.12	C13H21NO3S	CHNOS
6	433.23761	271.12511	271.13	C13H21NO3S	CHNOS
3	433.24402	271.13152	271.13	C13H21NO3S	CHNOS
2	433.23633	271.12383	271.12	C13H21NO3S	CHNOS
28	433.23718	271.12468	271.12	C13H21NO3S	CHNOS
2	433.23648	271.12398	271.12	C13H21NO3S	CHNOS
2	433.23642	271.12392	271.12	C13H21NO3S	CHNOS
8	433.23703	271.12453	271.12	C13H21NO3S	CHNOS
2	433.2366	271.1241	271.12	C13H21NO3S	CHNOS
2	433.23782	271.12532	271.13	C13H21NO3S	CHNOS
2	433.23654	271.12404	271.12	C13H21NO3S	CHNOS
2	433.23654	271.12404	271.12	C13H21NO3S	CHNOS
6	433.23685	271.12435	271.12	C13H21NO3S	CHNOS
3	433.23706	271.12456	271.12	C13H21NO3S	CHNOS
2	433.2366	271.1241	271.12	C13H21NO3S	CHNOS
2	433.23654	271.12404	271.12	C13H21NO3S	CHNOS
3	433.23734	271.12484	271.12	C13H21NO3S	CHNOS
3	433.23694	271.12444	271.12	C13H21NO3S	CHNOS
6	433.23654	271.12404	271.12	C13H21NO3S	CHNOS
4	433.23706	271.12456	271.12	C13H21NO3S	CHNOS
3	433.23798	271.12548	271.13	C13H21NO3S	CHNOS
9	433.23737	271.12487	271.12	C13H21NO3S	CHNOS
2	433.23676	271.12426	271.12	C13H21NO3S	CHNOS
2	433.23679	271.12429	271.12	C13H21NO3S	CHNOS
2	433.23669	271.12419	271.12	C13H21NO3S	CHNOS
2	433.23752	271.12502	271.13	C13H21NO3S	CHNOS
4	433.23685	271.12435	271.12	C13H21NO3S	CHNOS
2	433.23715	271.12465	271.12	C13H21NO3S	CHNOS
5	433.23672	271.12422	271.12	C13H21NO3S	CHNOS
2	433.23685	271.12435	271.12	C13H21NO3S	CHNOS
2	433.23691	271.12441	271.12	C13H21NO3S	CHNOS
2	433.23685	271.12435	271.12	C13H21NO3S	CHNOS
2	433.237	271.1245	271.12	C13H21NO3S	CHNOS
2	433.23697	271.12447	271.12	C13H21NO3S	CHNOS
2	433.23697	271.12447	271.12	C13H21NO3S	CHNOS
2	433.23694	271.12444	271.12	C13H21NO3S	CHNOS
2	433.23709	271.12459	271.12	C13H21NO3S	CHNOS
2	433.23694	271.12444	271.12	C13H21NO3S	CHNOS
2	433.23697	271.12447	271.12	C13H21NO3S	CHNOS
2	433.23709	271.12459	271.12	C13H21NO3S	CHNOS
2	433.23703	271.12453	271.12	C13H21NO3S	CHNOS
2	433.23715	271.12465	271.12	C13H21NO3S	CHNOS
2	433.23718	271.12468	271.12	C13H21NO3S	CHNOS
3	433.23715	271.12465	271.12	C13H21NO3S	CHNOS
2	433.23715	271.12465	271.12	C13H21NO3S	CHNOS
2	433.23718	271.12468	271.12	C13H21NO3S	CHNOS
2	433.23724	271.12474	271.12	C13H21NO3S	CHNOS
2	433.23727	271.12477	271.12	C13H21NO3S	CHNOS
2	433.23734	271.12484	271.12	C13H21NO3S	CHNOS
2	433.2374	271.1249	271.12	C13H21NO3S	CHNOS
3	433.23743	271.12493	271.12	C13H21NO3S	CHNOS
2	433.23749	271.12499	271.12	C13H21NO3S	CHNOS
2	433.23761	271.12511	271.13	C13H21NO3S	CHNOS
2	433.23764	271.12514	271.13	C13H21NO3S	CHNOS
2	433.23776	271.12526	271.13	C13H21NO3S	CHNOS
2	433.23776	271.12526	271.13	C13H21NO3S	CHNOS
2	433.23831	271.12581	271.13	C13H21NO3S	CHNOS
240	435.25269	273.14019	273.14	C13H23NO3S	CHNOS
12	435.25348	273.14098	273.14	C13H23NO3S	CHNOS
2	435.25143	273.13893	273.14	C13H23NO3S	CHNOS
2	435.25311	273.14061	273.14	C13H23NO3S	CHNOS
2	435.25162	273.13912	273.14	C13H23NO3S	CHNOS
2	435.25192	273.13942	273.14	C13H23NO3S	CHNOS
2	435.25363	273.14113	273.14	C13H23NO3S	CHNOS
2	435.2522	273.1397	273.14	C13H23NO3S	CHNOS
2	435.25269	273.14019	273.14	C13H23NO3S	CHNOS
2	435.25272	273.14022	273.14	C13H23NO3S	CHNOS
8	435.2533	273.1408	273.14	C13H23NO3S	CHNOS
2	435.25293	273.14043	273.14	C13H23NO3S	CHNOS
3	435.25296	273.14046	273.14	C13H23NO3S	CHNOS
2	435.25317	273.14067	273.14	C13H23NO3S	CHNOS
4	435.2533	273.1408	273.14	C13H23NO3S	CHNOS
2	435.25327	273.14077	273.14	C13H23NO3S	CHNOS
2	435.25381	273.14131	273.14	C13H23NO3S	CHNOS
2	435.25439	273.14189	273.14	C13H23NO3S	CHNOS
2	435.259	273.1465	273.15	C13H23NO3S	CHNOS
14	436.28226	274.16976	274.17	C16H22N2O2	CHNO
21	440.23151	278.11901	278.12	C12H22O5S	CHOS
68	440.23123	278.11873	278.12	C12H22O5S	CHOS
2	440.23001	278.11751	278.12	C12H22O5S	CHOS
5	442.28088	280.16838	280.17	C17H20N4	CHN
2	448.26456	286.15206	286.15	C13H22N2O5	CHNO
2	448.26517	286.15267	286.15	C13H22N2O5	CHNO
220	449.23157	287.11907	287.12	C13H21NO4S	CHNOS
22	449.23431	287.12181	287.12	C13H21NO4S	CHNOS
50	449.23096	287.11846	287.12	C13H21NO4S	CHNOS
2	449.2312	287.1187	287.12	C13H21NO4S	CHNOS
3	449.23126	287.11876	287.12	C13H21NO4S	CHNOS
10	449.2327	287.1202	287.12	C13H21NO4S	CHNOS
2	449.23141	287.11891	287.12	C13H21NO4S	CHNOS
2	449.23199	287.11949	287.12	C13H21NO4S	CHNOS
4	449.23236	287.11986	287.12	C13H21NO4S	CHNOS
2	449.23233	287.11983	287.12	C13H21NO4S	CHNOS
2	449.23257	287.12007	287.12	C13H21NO4S	CHNOS
2	449.23276	287.12026	287.12	C13H21NO4S	CHNOS
2	449.23288	287.12038	287.12	C13H21NO4S	CHNOS
2	449.23282	287.12032	287.12	C13H21NO4S	CHNOS
2	449.23618	287.12368	287.12	C13H21NO4S	CHNOS
6	451.21561	289.10311	289.1	C12H19NO5S	CHNOS
2	451.21481	289.10231	289.1	C12H19NO5S	CHNOS
31	451.21167	289.09917	289.1	C12H19NO5S	CHNOS
2	451.21475	289.10225	289.1	C12H19NO5S	CHNOS
2	451.21576	289.10326	289.1	C12H19NO5S	CHNOS
6	453.22571	291.11321	291.11	C12H21NO5S	CHNOS
2	453.2258	291.1133	291.11	C12H21NO5S	CHNOS
2	453.22684	291.11434	291.11	C12H21NO5S	CHNOS
2	453.22717	291.11467	291.11	C12H21NO5S	CHNOS
2	453.23062	291.11812	291.12	C12H21NO5S	CHNOS
2	453.23569	291.12319	291.12	C12H21NO5S	CHNOS
7	457.23505	295.12255	295.12	C15H21NO3S	CHNOS
5	457.23474	295.12224	295.12	C15H21NO3S	CHNOS
2	457.23502	295.12252	295.12	C15H21NO3S	CHNOS
44	457.23773	295.12523	295.13	C15H21NO3S	CHNOS
10	457.23636	295.12386	295.12	C15H21NO3S	CHNOS
2	457.23703	295.12453	295.12	C15H21NO3S	CHNOS
2	457.23636	295.12386	295.12	C15H21NO3S	CHNOS
2	457.23676	295.12426	295.12	C15H21NO3S	CHNOS
2	457.23706	295.12456	295.12	C15H21NO3S	CHNOS
2	457.24042	295.12792	295.13	C15H21NO3S	CHNOS
18	466.23669	304.12419	304.12	C16H20N2O2S	CHNOS
4	468.26184	306.14934	306.15	C14H26O5S	CHOS
3	472.32999	310.21749	310.22	C17H30N2O3	CHNO
3	473.22437	311.11187	311.11	C15H21NO4S	CHNOS
102	473.23315	311.12065	311.12	C15H21NO4S	CHNOS
18	473.23349	311.12099	311.12	C15H21NO4S	CHNOS
10	473.23569	311.12319	311.12	C15H21NO4S	CHNOS
162	473.23193	311.11943	311.12	C15H21NO4S	CHNOS
35	473.23126	311.11876	311.12	C15H21NO4S	CHNOS
2	473.23087	311.11837	311.12	C15H21NO4S	CHNOS
2	473.23044	311.11794	311.12	C15H21NO4S	CHNOS
2	473.23096	311.11846	311.12	C15H21NO4S	CHNOS
2	473.23105	311.11855	311.12	C15H21NO4S	CHNOS
2	473.23114	311.11864	311.12	C15H21NO4S	CHNOS
5	473.23117	311.11867	311.12	C15H21NO4S	CHNOS
2	473.23129	311.11879	311.12	C15H21NO4S	CHNOS
20	473.2323	311.1198	311.12	C15H21NO4S	CHNOS
2	473.23132	311.11882	311.12	C15H21NO4S	CHNOS
2	473.23151	311.11901	311.12	C15H21NO4S	CHNOS
2	473.23157	311.11907	311.12	C15H21NO4S	CHNOS
2	473.23172	311.11922	311.12	C15H21NO4S	CHNOS
9	473.2323	311.1198	311.12	C15H21NO4S	CHNOS
2	473.23196	311.11946	311.12	C15H21NO4S	CHNOS
2	473.23209	311.11959	311.12	C15H21NO4S	CHNOS
2	473.23215	311.11965	311.12	C15H21NO4S	CHNOS
2	473.23221	311.11971	311.12	C15H21NO4S	CHNOS
2	473.2323	311.1198	311.12	C15H21NO4S	CHNOS
26	474.34418	312.23168	312.23	C19H28N4	CHN
2	475.2384	313.1259	313.13	C15H23NO4S	CHNOS
970	475.24661	313.13411	313.13	C15H23NO4S	CHNOS
120	475.2475	313.135	313.14	C15H23NO4S	CHNOS
20	475.24765	313.13515	313.14	C15H23NO4S	CHNOS
9	475.24689	313.13439	313.13	C15H23NO4S	CHNOS
5	475.24649	313.13399	313.13	C15H23NO4S	CHNOS
34	475.24677	313.13427	313.13	C15H23NO4S	CHNOS
6	475.24753	313.13503	313.14	C15H23NO4S	CHNOS
7	475.24667	313.13417	313.13	C15H23NO4S	CHNOS
10	475.24683	313.13433	313.13	C15H23NO4S	CHNOS
4	475.24683	313.13433	313.13	C15H23NO4S	CHNOS
46	475.24698	313.13448	313.13	C15H23NO4S	CHNOS
12	475.24698	313.13448	313.13	C15H23NO4S	CHNOS
2	475.24695	313.13445	313.13	C15H23NO4S	CHNOS
2	475.24695	313.13445	313.13	C15H23NO4S	CHNOS
12	475.24878	313.13628	313.14	C15H23NO4S	CHNOS
2	475.24701	313.13451	313.13	C15H23NO4S	CHNOS
2	475.24704	313.13454	313.13	C15H23NO4S	CHNOS
8	475.24738	313.13488	313.13	C15H23NO4S	CHNOS
2	475.24713	313.13463	313.13	C15H23NO4S	CHNOS
2	475.24716	313.13466	313.13	C15H23NO4S	CHNOS
2	475.24716	313.13466	313.13	C15H23NO4S	CHNOS
3	475.25	313.1375	313.14	C15H23NO4S	CHNOS
2	475.24722	313.13472	313.13	C15H23NO4S	CHNOS
2	475.24728	313.13478	313.13	C15H23NO4S	CHNOS
2	475.24734	313.13484	313.13	C15H23NO4S	CHNOS
2	475.24734	313.13484	313.13	C15H23NO4S	CHNOS
2	475.24738	313.13488	313.13	C15H23NO4S	CHNOS
14	475.24841	313.13591	313.14	C15H23NO4S	CHNOS
2	475.24747	313.13497	313.13	C15H23NO4S	CHNOS
2	475.2475	313.135	313.14	C15H23NO4S	CHNOS
2	475.24777	313.13527	313.14	C15H23NO4S	CHNOS
2	475.24796	313.13546	313.14	C15H23NO4S	CHNOS
2	475.25	313.1375	313.14	C15H23NO4S	CHNOS
4	475.25	313.1375	313.14	C15H23NO4S	CHNOS
2	477.26001	315.14751	315.15	C15H25NO4S	CHNOS
61	477.26355	315.15105	315.15	C15H25NO4S	CHNOS
58	477.26593	315.15343	315.15	C15H25NO4S	CHNOS
12	477.26337	315.15087	315.15	C15H25NO4S	CHNOS
2	477.26276	315.15026	315.15	C15H25NO4S	CHNOS
16	477.26291	315.15041	315.15	C15H25NO4S	CHNOS
4	477.26282	315.15032	315.15	C15H25NO4S	CHNOS
3	477.26364	315.15114	315.15	C15H25NO4S	CHNOS
2	477.26328	315.15078	315.15	C15H25NO4S	CHNOS
8	479.24423	317.13173	317.13	C14H23NO5S	CHNOS
2	479.24194	317.12944	317.13	C14H23NO5S	CHNOS
42	479.24319	317.13069	317.13	C14H23NO5S	CHNOS
2	479.24237	317.12987	317.13	C14H23NO5S	CHNOS
2	481.25757	319.14507	319.15	C14H25NO5S	CHNOS
2	481.25766	319.14516	319.15	C14H25NO5S	CHNOS
2	481.25775	319.14525	319.15	C14H25NO5S	CHNOS
2	481.25775	319.14525	319.15	C14H25NO5S	CHNOS
2	481.25778	319.14528	319.15	C14H25NO5S	CHNOS
2	481.2579	319.1454	319.15	C14H25NO5S	CHNOS
4	481.25864	319.14614	319.15	C14H25NO5S	CHNOS
2	481.25806	319.14556	319.15	C14H25NO5S	CHNOS
2	481.25809	319.14559	319.15	C14H25NO5S	CHNOS
2	481.25809	319.14559	319.15	C14H25NO5S	CHNOS
2	481.25806	319.14556	319.15	C14H25NO5S	CHNOS
6	481.25824	319.14574	319.15	C14H25NO5S	CHNOS
2	481.258	319.1455	319.15	C14H25NO5S	CHNOS
2	481.25809	319.14559	319.15	C14H25NO5S	CHNOS
2	481.25806	319.14556	319.15	C14H25NO5S	CHNOS
2	481.25815	319.14565	319.15	C14H25NO5S	CHNOS
2	481.25812	319.14562	319.15	C14H25NO5S	CHNOS
2	481.25812	319.14562	319.15	C14H25NO5S	CHNOS
2	481.25821	319.14571	319.15	C14H25NO5S	CHNOS
2	481.25818	319.14568	319.15	C14H25NO5S	CHNOS
2	481.25821	319.14571	319.15	C14H25NO5S	CHNOS
2	481.2583	319.1458	319.15	C14H25NO5S	CHNOS
2	481.25821	319.14571	319.15	C14H25NO5S	CHNOS
2	481.25824	319.14574	319.15	C14H25NO5S	CHNOS
2	481.25845	319.14595	319.15	C14H25NO5S	CHNOS
2	481.25842	319.14592	319.15	C14H25NO5S	CHNOS
2	481.25854	319.14604	319.15	C14H25NO5S	CHNOS
2	481.25851	319.14601	319.15	C14H25NO5S	CHNOS
2	481.25851	319.14601	319.15	C14H25NO5S	CHNOS
2	481.25867	319.14617	319.15	C14H25NO5S	CHNOS
4	486.37888	324.26638	324.27	C16H32N6O	CHNO
133	487.28204	325.16954	325.17	C17H27NO3S	CHNOS
14	487.28418	325.17168	325.17	C17H27NO3S	CHNOS
4	487.28116	325.16866	325.17	C17H27NO3S	CHNOS
2	487.28137	325.16887	325.17	C17H27NO3S	CHNOS
4	487.28394	325.17144	325.17	C17H27NO3S	CHNOS
2	487.2825	325.17	325.17	C17H27NO3S	CHNOS
2	487.28259	325.17009	325.17	C17H27NO3S	CHNOS
2	487.28326	325.17076	325.17	C17H27NO3S	CHNOS
3	487.28329	325.17079	325.17	C17H27NO3S	CHNOS
3	487.28406	325.17156	325.17	C17H27NO3S	CHNOS
2	487.28336	325.17086	325.17	C17H27NO3S	CHNOS
2	487.28342	325.17092	325.17	C17H27NO3S	CHNOS
2	487.28354	325.17104	325.17	C17H27NO3S	CHNOS
2	487.28375	325.17125	325.17	C17H27NO3S	CHNOS
2	487.2836	325.1711	325.17	C17H27NO3S	CHNOS
2	487.2836	325.1711	325.17	C17H27NO3S	CHNOS
2	487.28369	325.17119	325.17	C17H27NO3S	CHNOS
3	487.2843	325.1718	325.17	C17H27NO3S	CHNOS
2	487.28394	325.17144	325.17	C17H27NO3S	CHNOS
2	487.284	325.1715	325.17	C17H27NO3S	CHNOS
2	487.28427	325.17177	325.17	C17H27NO3S	CHNOS
2	487.28433	325.17183	325.17	C17H27NO3S	CHNOS
2	487.28473	325.17223	325.17	C17H27NO3S	CHNOS
4	488.39508	326.28258	326.28	C21H34N4O-1	CHNO
3	490.33694	328.22444	328.22	C19H28N4O	CHNO
2	490.33728	328.22478	328.22	C19H28N4O	CHNO
2	490.33755	328.22505	328.23	C19H28N4O	CHNO
2	490.33862	328.22612	328.23	C19H28N4O	CHNO
2	490.35025	328.23775	328.24	C17H32N2O4	CHNO
2	491.24115	329.12865	329.13	C15H23NO5S	CHNOS
7	491.24243	329.12993	329.13	C15H23NO5S	CHNOS
4	491.24197	329.12947	329.13	C15H23NO5S	CHNOS
2	491.24234	329.12984	329.13	C15H23NO5S	CHNOS
4	491.2424	329.1299	329.13	C15H23NO5S	CHNOS
3	491.24237	329.12987	329.13	C15H23NO5S	CHNOS
6	491.24274	329.13024	329.13	C15H23NO5S	CHNOS
2	491.24286	329.13036	329.13	C15H23NO5S	CHNOS
167	492.34552	330.23302	330.23	C20H30N2O2	CHNO
27	494.34152	332.22902	332.23	C16H32N2O5	CHNO
9	500.35501	338.24251	338.24	C22H30N2O	CHNO
5	503.27737	341.16487	341.16	C17H27NO4S	CHNOS
64	503.27859	341.16609	341.17	C17H27NO4S	CHNOS
14	503.27768	341.16518	341.17	C17H27NO4S	CHNOS
2	503.2767	341.1642	341.16	C17H27NO4S	CHNOS
165	503.27887	341.16637	341.17	C17H27NO4S	CHNOS
2	503.27777	341.16527	341.17	C17H27NO4S	CHNOS
2	503.27832	341.16582	341.17	C17H27NO4S	CHNOS
2	503.27844	341.16594	341.17	C17H27NO4S	CHNOS
2	503.27847	341.16597	341.17	C17H27NO4S	CHNOS
2	503.27872	341.16622	341.17	C17H27NO4S	CHNOS
2	503.27878	341.16628	341.17	C17H27NO4S	CHNOS
2	503.2789	341.1664	341.17	C17H27NO4S	CHNOS
2	503.27905	341.16655	341.17	C17H27NO4S	CHNOS
2	503.2793	341.1668	341.17	C17H27NO4S	CHNOS
11	505.28897	343.17647	343.18	C17H29NO4S	CHNOS
39	505.29303	343.18053	343.18	C17H29NO4S	CHNOS
148	505.29416	343.18166	343.18	C17H29NO4S	CHNOS
17	505.29169	343.17919	343.18	C17H29NO4S	CHNOS
120	505.2944	343.1819	343.18	C17H29NO4S	CHNOS
2	505.29272	343.18022	343.18	C17H29NO4S	CHNOS
6	505.29449	343.18199	343.18	C17H29NO4S	CHNOS
2	505.29343	343.18093	343.18	C17H29NO4S	CHNOS
4	505.29343	343.18093	343.18	C17H29NO4S	CHNOS
2	505.29346	343.18096	343.18	C17H29NO4S	CHNOS
4	505.29352	343.18102	343.18	C17H29NO4S	CHNOS
2	505.29373	343.18123	343.18	C17H29NO4S	CHNOS
2	505.29486	343.18236	343.18	C17H29NO4S	CHNOS
2	505.29398	343.18148	343.18	C17H29NO4S	CHNOS
2	505.29401	343.18151	343.18	C17H29NO4S	CHNOS
2	505.29398	343.18148	343.18	C17H29NO4S	CHNOS
2	505.29391	343.18141	343.18	C17H29NO4S	CHNOS
15	505.2951	343.1826	343.18	C17H29NO4S	CHNOS
2	505.29398	343.18148	343.18	C17H29NO4S	CHNOS
2	505.29404	343.18154	343.18	C17H29NO4S	CHNOS
2	505.29404	343.18154	343.18	C17H29NO4S	CHNOS
2	505.2941	343.1816	343.18	C17H29NO4S	CHNOS
2	505.29401	343.18151	343.18	C17H29NO4S	CHNOS
2	505.29404	343.18154	343.18	C17H29NO4S	CHNOS
2	505.29413	343.18163	343.18	C17H29NO4S	CHNOS
2	505.2941	343.1816	343.18	C17H29NO4S	CHNOS
2	505.29413	343.18163	343.18	C17H29NO4S	CHNOS
2	505.2941	343.1816	343.18	C17H29NO4S	CHNOS
2	505.29422	343.18172	343.18	C17H29NO4S	CHNOS
2	505.29425	343.18175	343.18	C17H29NO4S	CHNOS
2	505.29428	343.18178	343.18	C17H29NO4S	CHNOS
2	505.29425	343.18175	343.18	C17H29NO4S	CHNOS
2	505.29425	343.18175	343.18	C17H29NO4S	CHNOS
5	505.29514	343.18264	343.18	C17H29NO4S	CHNOS
2	505.29419	343.18169	343.18	C17H29NO4S	CHNOS
2	505.29422	343.18172	343.18	C17H29NO4S	CHNOS
2	505.29425	343.18175	343.18	C17H29NO4S	CHNOS
2	505.29437	343.18187	343.18	C17H29NO4S	CHNOS
2	505.29434	343.18184	343.18	C17H29NO4S	CHNOS
2	505.29431	343.18181	343.18	C17H29NO4S	CHNOS
2	505.29431	343.18181	343.18	C17H29NO4S	CHNOS
2	505.29434	343.18184	343.18	C17H29NO4S	CHNOS
2	505.29434	343.18184	343.18	C17H29NO4S	CHNOS
2	505.29431	343.18181	343.18	C17H29NO4S	CHNOS
2	505.29431	343.18181	343.18	C17H29NO4S	CHNOS
2	505.29449	343.18199	343.18	C17H29NO4S	CHNOS
2	505.29443	343.18193	343.18	C17H29NO4S	CHNOS
2	505.29446	343.18196	343.18	C17H29NO4S	CHNOS
2	505.29449	343.18199	343.18	C17H29NO4S	CHNOS
2	505.29456	343.18206	343.18	C17H29NO4S	CHNOS
2	505.29459	343.18209	343.18	C17H29NO4S	CHNOS
2	505.29456	343.18206	343.18	C17H29NO4S	CHNOS
2	505.29456	343.18206	343.18	C17H29NO4S	CHNOS
2	505.29449	343.18199	343.18	C17H29NO4S	CHNOS
2	505.29468	343.18218	343.18	C17H29NO4S	CHNOS
2	505.29468	343.18218	343.18	C17H29NO4S	CHNOS
2	505.29468	343.18218	343.18	C17H29NO4S	CHNOS
2	505.29468	343.18218	343.18	C17H29NO4S	CHNOS
2	505.29462	343.18212	343.18	C17H29NO4S	CHNOS
2	505.29471	343.18221	343.18	C17H29NO4S	CHNOS
2	505.29474	343.18224	343.18	C17H29NO4S	CHNOS
2	505.29477	343.18227	343.18	C17H29NO4S	CHNOS
2	505.29474	343.18224	343.18	C17H29NO4S	CHNOS
2	505.29477	343.18227	343.18	C17H29NO4S	CHNOS
2	505.29483	343.18233	343.18	C17H29NO4S	CHNOS
2	505.29489	343.18239	343.18	C17H29NO4S	CHNOS
2	505.29489	343.18239	343.18	C17H29NO4S	CHNOS
2	505.29495	343.18245	343.18	C17H29NO4S	CHNOS
2	505.29507	343.18257	343.18	C17H29NO4S	CHNOS
2	505.2951	343.1826	343.18	C17H29NO4S	CHNOS
2	505.29526	343.18276	343.18	C17H29NO4S	CHNOS
2	505.29529	343.18279	343.18	C17H29NO4S	CHNOS
2	505.29535	343.18285	343.18	C17H29NO4S	CHNOS
2	505.29544	343.18294	343.18	C17H29NO4S	CHNOS
1091	511.28366	349.17116	349.17	C19H27NO3S	CHNOS
9	511.28397	349.17147	349.17	C19H27NO3S	CHNOS
2	511.28021	349.16771	349.17	C19H27NO3S	CHNOS
7	511.28171	349.16921	349.17	C19H27NO3S	CHNOS
2	511.2814	349.1689	349.17	C19H27NO3S	CHNOS
6	511.28433	349.17183	349.17	C19H27NO3S	CHNOS
4	511.28287	349.17037	349.17	C19H27NO3S	CHNOS
41	511.28412	349.17162	349.17	C19H27NO3S	CHNOS
9	511.28345	349.17095	349.17	C19H27NO3S	CHNOS
2	511.28281	349.17031	349.17	C19H27NO3S	CHNOS
2	511.28305	349.17055	349.17	C19H27NO3S	CHNOS
3	511.2843	349.1718	349.17	C19H27NO3S	CHNOS
12	511.28427	349.17177	349.17	C19H27NO3S	CHNOS
2	511.2832	349.1707	349.17	C19H27NO3S	CHNOS
2	511.2832	349.1707	349.17	C19H27NO3S	CHNOS
5	511.28406	349.17156	349.17	C19H27NO3S	CHNOS
2	511.28326	349.17076	349.17	C19H27NO3S	CHNOS
4	511.28391	349.17141	349.17	C19H27NO3S	CHNOS
2	511.28336	349.17086	349.17	C19H27NO3S	CHNOS
4	511.28391	349.17141	349.17	C19H27NO3S	CHNOS
2	511.28345	349.17095	349.17	C19H27NO3S	CHNOS
4	511.28384	349.17134	349.17	C19H27NO3S	CHNOS
14	511.28442	349.17192	349.17	C19H27NO3S	CHNOS
2	511.28342	349.17092	349.17	C19H27NO3S	CHNOS
6	511.28406	349.17156	349.17	C19H27NO3S	CHNOS
2	511.28342	349.17092	349.17	C19H27NO3S	CHNOS
2	511.28348	349.17098	349.17	C19H27NO3S	CHNOS
2	511.28342	349.17092	349.17	C19H27NO3S	CHNOS
2	511.28339	349.17089	349.17	C19H27NO3S	CHNOS
3	511.28461	349.17211	349.17	C19H27NO3S	CHNOS
2	511.28357	349.17107	349.17	C19H27NO3S	CHNOS
2	511.28357	349.17107	349.17	C19H27NO3S	CHNOS
9	511.284	349.1715	349.17	C19H27NO3S	CHNOS
10	511.2836	349.1711	349.17	C19H27NO3S	CHNOS
3	511.28394	349.17144	349.17	C19H27NO3S	CHNOS
2	511.28357	349.17107	349.17	C19H27NO3S	CHNOS
2	511.28363	349.17113	349.17	C19H27NO3S	CHNOS
2	511.28366	349.17116	349.17	C19H27NO3S	CHNOS
2	511.28366	349.17116	349.17	C19H27NO3S	CHNOS
6	511.28433	349.17183	349.17	C19H27NO3S	CHNOS
14	511.28421	349.17171	349.17	C19H27NO3S	CHNOS
2	511.28369	349.17119	349.17	C19H27NO3S	CHNOS
2	511.28369	349.17119	349.17	C19H27NO3S	CHNOS
2	511.28363	349.17113	349.17	C19H27NO3S	CHNOS
2	511.28363	349.17113	349.17	C19H27NO3S	CHNOS
2	511.28363	349.17113	349.17	C19H27NO3S	CHNOS
14	511.28467	349.17217	349.17	C19H27NO3S	CHNOS
2	511.28375	349.17125	349.17	C19H27NO3S	CHNOS
2	511.28372	349.17122	349.17	C19H27NO3S	CHNOS
3	511.28406	349.17156	349.17	C19H27NO3S	CHNOS
3	511.28555	349.17305	349.17	C19H27NO3S	CHNOS
2	511.28372	349.17122	349.17	C19H27NO3S	CHNOS
2	511.28375	349.17125	349.17	C19H27NO3S	CHNOS
2	511.28378	349.17128	349.17	C19H27NO3S	CHNOS
2	511.28375	349.17125	349.17	C19H27NO3S	CHNOS
2	511.28378	349.17128	349.17	C19H27NO3S	CHNOS
2	511.28387	349.17137	349.17	C19H27NO3S	CHNOS
2	511.28391	349.17141	349.17	C19H27NO3S	CHNOS
2	511.28387	349.17137	349.17	C19H27NO3S	CHNOS
2	511.28381	349.17131	349.17	C19H27NO3S	CHNOS
2	511.28387	349.17137	349.17	C19H27NO3S	CHNOS
2	511.28384	349.17134	349.17	C19H27NO3S	CHNOS
2	511.28387	349.17137	349.17	C19H27NO3S	CHNOS
2	511.28381	349.17131	349.17	C19H27NO3S	CHNOS
2	511.28387	349.17137	349.17	C19H27NO3S	CHNOS
2	511.28384	349.17134	349.17	C19H27NO3S	CHNOS
3	511.28391	349.17141	349.17	C19H27NO3S	CHNOS
2	511.28387	349.17137	349.17	C19H27NO3S	CHNOS
2	511.28387	349.17137	349.17	C19H27NO3S	CHNOS
