ATTRIBUTE_antibiotics_YN	filename	MS_1697	MS_15121	MS_18116	MS_1976	MS_19774	MS_23767	MS_22584	MS_21720	MS_24112	MS_25227	MS_19201	MS_25922	MS_24345	MS_27100	MS_25642	MS_26845	MS_20303	MS_21761	MS_23950	MS_25113	MS_20431	MS_21769
No	SS201_RB3_01_7544	33.722633	0.0	0.0	0.0	0.0	149.5589	33.55242	0.0	148.6201	808.112	4.0003633	119.20794	297.05084	183.67386	1420.8837	749.7033	10.07586	13.1603775	52.533012	72.398964	0.0	3.6316872
No	SS167_RG2_01_7500	0.0	0.0	159.02628	87.048874	0.0	593.5216	70.49286	5.8518543	642.2692	5007.8706	4.356022	317.1206	1246.7306	1951.0804	5953.9277	3649.011	43.333515	46.677586	141.29141	203.34683	3.3669853	3.7247486
No	SS170_RG5_01_7503	337.99643	0.0	123.62134	79.0807	0.0	689.68115	89.67319	5.2887444	594.5384	4750.359	4.2328043	490.14462	893.09705	2933.672	4917.115	4996.6187	11.251831	77.06827	212.17914	310.32776	3.63839	3.3108668
No	SS166_RG1_01_7499	36.367832	0.0	66.43883	30.146736	0.0	709.74677	78.04976	97.59086	656.912	5345.4253	3.6034672	423.0764	1099.4402	2983.9065	5285.7676	4781.846	29.061094	18.857788	148.55832	228.62923	2.8874536	3.8220334
No	SS206_RB8_01_7549	0.0	0.0	0.0	0.0	0.0	40.223297	0.0	0.0	0.0	357.315	0.0	31.776463	35.96551	0.0	461.6864	267.7395	3.1914787	3.2608159	0.0	0.0	0.0	0.0
No	SS186_RH9_01_7523	868.35675	0.0	121.04966	68.99299	0.0	1016.6334	832.4511	2.8145576	1329.5244	4959.7715	42.236572	342.13727	1334.8508	2398.4292	8045.415	3172.5352	586.4221	404.81503	378.74277	244.54128	3.0674	3.6632159
No	SS164_RF11_01_7496	386.0866	0.0	182.94545	154.37611	26.304472	1649.4437	179.4154	0.0	1994.1838	9213.81	7.2941675	588.27216	2491.2537	3354.2747	9713.733	6728.6387	47.944443	97.59937	255.49034	374.34747	3.5367424	6.5793953
No	SS185_RH8_01_7522	533.23145	0.0	91.23241	51.236366	0.0	1089.6123	172.83968	0.0	1497.2118	5988.4424	21.58255	460.26	1796.6433	2852.677	9275.869	3871.603	133.75003	182.26274	307.5005	305.1384	3.1160746	3.4825602
No	SS200_RB2_01_7543	0.0	0.0	49.1345	2.7909808	0.0	288.51575	48.068985	0.0	404.33597	1364.5852	2.766388	373.07675	766.85626	1093.7059	2548.017	1017.4966	48.23011	44.998627	67.472046	57.259903	0.0	0.0
No	SS217_RC7_01_7561	485.83856	1664.6014	74.715294	8.204985	229.806	2626.2786	163.98053	0.0	1702.3049	2948.9785	703.3903	151.28023	755.0691	42.32039	2857.5417	1779.0507	810.72455	227.57751	88.96806	14.839712	4.227027	2.6925266
No	SS218_RC8_01_7562	0.0	0.0	0.0	3.092578	41.64433	611.19824	139.78136	0.0	760.8256	1786.3687	11.43499	262.88425	905.0941	0.0	1922.0045	1201.9963	49.00782	245.91093	30.724907	73.894066	9.5469475	4.900268
No	SS192_RA6_01_7534	76.51233	0.0	54.49102	22.174374	0.0	792.00977	91.42227	0.0	882.50397	4730.627	5.2052455	364.76657	1109.0024	1460.2408	5443.4824	3815.1035	36.9781	52.068626	152.57263	190.40881	3.2184741	3.86551
No	SS203_RB5_01_7546	0.0	0.0	0.0	11.81567	0.0	198.40048	27.08467	0.0	258.28937	1722.7845	0.0	66.505325	369.2144	561.62103	1831.1208	1921.3646	6.1554437	15.699222	68.61131	47.19787	8.974314	3.7873192
