origin_repository	precmz	count
GNPS/MassIVE	203.0516	17
GNPS/MassIVE	203.0517	84
GNPS/MassIVE	203.0518	80
GNPS/MassIVE	203.0519	18
GNPS/MassIVE	203.052	7
GNPS/MassIVE	203.0521	9
GNPS/MassIVE	203.0522	23
GNPS/MassIVE	203.0523	68
GNPS/MassIVE	203.0524	118
GNPS/MassIVE	203.0525	142
GNPS/MassIVE	203.0526	230
GNPS/MassIVE	203.0527	252
GNPS/MassIVE	203.0528	326
GNPS/MassIVE	203.0529	745
GNPS/MassIVE	203.053	495
GNPS/MassIVE	203.0531	634
GNPS/MassIVE	203.0532	1035
GNPS/MassIVE	203.0533	414
GNPS/MassIVE	203.0534	30
GNPS/MassIVE	203.0535	5
GNPS/MassIVE	203.0536	2
GNPS/MassIVE	203.0537	4
GNPS/MassIVE	203.0538	4
GNPS/MassIVE	203.0539	2
GNPS/MassIVE	203.054	2
GNPS/MassIVE	203.0541	2
GNPS/MassIVE	203.0542	2
GNPS/MassIVE	203.0546	4
GNPS/MassIVE	203.0553	2
GNPS/MassIVE	203.059	4
GNPS/MassIVE	203.0776	2
GNPS/MassIVE	203.081	2
GNPS/MassIVE	203.0811	8
GNPS/MassIVE	203.0812	2
GNPS/MassIVE	203.0813	41
GNPS/MassIVE	203.0814	69
GNPS/MassIVE	203.0815	85
GNPS/MassIVE	203.0816	26
GNPS/MassIVE	203.0817	5
GNPS/MassIVE	203.0818	5
GNPS/MassIVE	203.0819	2
GNPS/MassIVE	203.082	4
GNPS/MassIVE	203.0912	4
GNPS/MassIVE	203.0913	13
GNPS/MassIVE	203.0914	19
GNPS/MassIVE	203.0915	7
GNPS/MassIVE	203.0916	2
GNPS/MassIVE	203.1017	2
GNPS/MassIVE	203.102	5
GNPS/MassIVE	203.1022	1
GNPS/MassIVE	203.1024	12
GNPS/MassIVE	203.1025	20
GNPS/MassIVE	203.1026	43
GNPS/MassIVE	203.1027	10
GNPS/MassIVE	203.1028	1
GNPS/MassIVE	203.1029	1
GNPS/MassIVE	203.1032	1
GNPS/MassIVE	203.1033	1
GNPS/MassIVE	203.1135	1
GNPS/MassIVE	203.114	1
GNPS/MassIVE	203.118	1
GNPS/MassIVE	203.1181	1
GNPS/MassIVE	203.1376	2
GNPS/MassIVE	203.1378	2
GNPS/MassIVE	203.1386	2
GNPS/MassIVE	203.1387	1
GNPS/MassIVE	203.1388	2
GNPS/MassIVE	203.1389	20
GNPS/MassIVE	203.139	28
GNPS/MassIVE	203.1391	66
GNPS/MassIVE	203.1392	39
GNPS/MassIVE	203.1393	7
GNPS/MassIVE	203.1394	3
GNPS/MassIVE	203.1395	11
GNPS/MassIVE	203.1396	1
GNPS/MassIVE	203.1491	1
GNPS/MassIVE	203.1492	2
GNPS/MassIVE	203.1495	5
GNPS/MassIVE	203.1497	1
GNPS/MassIVE	203.1498	1
GNPS/MassIVE	203.1499	6
GNPS/MassIVE	203.15	20
GNPS/MassIVE	203.1501	89
GNPS/MassIVE	203.1502	64
GNPS/MassIVE	203.1503	35
GNPS/MassIVE	203.1504	29
GNPS/MassIVE	203.1505	25
GNPS/MassIVE	203.1506	19
GNPS/MassIVE	203.1507	17
GNPS/MassIVE	203.1508	8
GNPS/MassIVE	203.1509	3
GNPS/MassIVE	203.151	1
GNPS/MassIVE	203.2225	2
GNPS/MassIVE	203.2226	12
GNPS/MassIVE	203.2227	40
GNPS/MassIVE	203.2228	84
GNPS/MassIVE	203.2229	122
GNPS/MassIVE	203.223	110
GNPS/MassIVE	203.2231	100
GNPS/MassIVE	203.2232	76
GNPS/MassIVE	203.2233	156
GNPS/MassIVE	203.2234	130
GNPS/MassIVE	203.2235	46
GNPS/MassIVE	203.2236	10
GNPS/MassIVE	203.5628	2
GNPS/MassIVE	203.5633	6
GNPS/MassIVE	203.5635	6
GNPS/MassIVE	203.7504	1
GNPS/MassIVE	203.7507	1
GNPS/MassIVE	203.7509	1
GNPS/MassIVE	203.751	1
GNPS/MassIVE	203.7513	1
GNPS/MassIVE	203.7514	2
GNPS/MassIVE	203.7518	1
GNPS/MassIVE	203.7522	2
GNPS/MassIVE	203.7523	2
GNPS/MassIVE	203.7524	2
GNPS/MassIVE	203.7525	1
GNPS/MassIVE	203.7527	1
GNPS/MassIVE	203.7529	1
GNPS/MassIVE	203.9322	3
GNPS/MassIVE	203.9718	2
GNPS/MassIVE	204.0001	2
GNPS/MassIVE	204.0002	1
GNPS/MassIVE	204.008	3
GNPS/MassIVE	204.0095	2
GNPS/MassIVE	204.0189	2
GNPS/MassIVE	204.019	15
GNPS/MassIVE	204.0191	2
GNPS/MassIVE	204.02	8
GNPS/MassIVE	204.028	1
GNPS/MassIVE	204.0283	1
GNPS/MassIVE	204.0284	1
GNPS/MassIVE	204.0285	1
GNPS/MassIVE	204.029	1
GNPS/MassIVE	204.0292	1
GNPS/MassIVE	204.0294	1
GNPS/MassIVE	204.0316	2
GNPS/MassIVE	204.0317	4
GNPS/MassIVE	204.0318	4
GNPS/MassIVE	204.0319	6
GNPS/MassIVE	204.0326	2
GNPS/MassIVE	204.0327	2
GNPS/MassIVE	204.04	29
GNPS/MassIVE	204.0435	2
GNPS/MassIVE	204.0498	1
GNPS/MassIVE	204.0499	3
GNPS/MassIVE	204.05	93
GNPS/MassIVE	204.0551	4
GNPS/MassIVE	204.0552	5
GNPS/MassIVE	204.0553	12
GNPS/MassIVE	204.0554	8
GNPS/MassIVE	204.0555	6
GNPS/MassIVE	204.0556	4
GNPS/MassIVE	204.0557	5
GNPS/MassIVE	204.0558	9
GNPS/MassIVE	204.0559	18
GNPS/MassIVE	204.056	9
GNPS/MassIVE	204.0561	16
GNPS/MassIVE	204.0562	10
GNPS/MassIVE	204.0563	5
GNPS/MassIVE	204.0564	7
GNPS/MassIVE	204.0566	4
GNPS/MassIVE	204.0567	1
GNPS/MassIVE	204.0568	2
GNPS/MassIVE	204.0569	2
GNPS/MassIVE	204.0621	2
GNPS/MassIVE	204.0623	2
GNPS/MassIVE	204.0624	1
GNPS/MassIVE	204.0629	4
GNPS/MassIVE	204.063	8
GNPS/MassIVE	204.0631	13
GNPS/MassIVE	204.0632	44
GNPS/MassIVE	204.0633	43
GNPS/MassIVE	204.0634	26
GNPS/MassIVE	204.0635	17
GNPS/MassIVE	204.0636	6
GNPS/MassIVE	204.0645	2
GNPS/MassIVE	204.0652	1
GNPS/MassIVE	204.0654	1
GNPS/MassIVE	204.0656	6
GNPS/MassIVE	204.0657	4
GNPS/MassIVE	204.0676	1
GNPS/MassIVE	204.068	4
GNPS/MassIVE	204.0681	2
GNPS/MassIVE	204.0685	1
GNPS/MassIVE	204.0686	1
GNPS/MassIVE	204.0687	3
GNPS/MassIVE	204.0688	1
GNPS/MassIVE	204.0689	2
GNPS/MassIVE	204.069	3
GNPS/MassIVE	204.0691	7
GNPS/MassIVE	204.0692	3
GNPS/MassIVE	204.0847	16
GNPS/MassIVE	204.0848	18
GNPS/MassIVE	204.0854	2
GNPS/MassIVE	204.0856	1
GNPS/MassIVE	204.0857	16
GNPS/MassIVE	204.0858	18
GNPS/MassIVE	204.0859	45
GNPS/MassIVE	204.086	38
GNPS/MassIVE	204.0861	90
GNPS/MassIVE	204.0862	154
GNPS/MassIVE	204.0863	245
GNPS/MassIVE	204.0864	416
GNPS/MassIVE	204.0865	611
GNPS/MassIVE	204.0866	662
GNPS/MassIVE	204.0867	785
GNPS/MassIVE	204.0868	642
GNPS/MassIVE	204.0869	438
GNPS/MassIVE	204.087	222
GNPS/MassIVE	204.0871	124
GNPS/MassIVE	204.0872	55
GNPS/MassIVE	204.0873	13
GNPS/MassIVE	204.0874	7
GNPS/MassIVE	204.0875	2
GNPS/MassIVE	204.0878	2
GNPS/MassIVE	204.09	131
GNPS/MassIVE	204.0973	1
GNPS/MassIVE	204.0975	3
GNPS/MassIVE	204.0976	5
GNPS/MassIVE	204.0977	10
GNPS/MassIVE	204.0978	28
GNPS/MassIVE	204.0979	37
GNPS/MassIVE	204.098	19
GNPS/MassIVE	204.0981	17
GNPS/MassIVE	204.0982	11
GNPS/MassIVE	204.0983	9
GNPS/MassIVE	204.0984	11
GNPS/MassIVE	204.0985	4
GNPS/MassIVE	204.0986	14
GNPS/MassIVE	204.0987	18
GNPS/MassIVE	204.0988	5
GNPS/MassIVE	204.0989	2
GNPS/MassIVE	204.099	2
GNPS/MassIVE	204.0992	1
GNPS/MassIVE	204.1008	2
GNPS/MassIVE	204.101	6
GNPS/MassIVE	204.1011	10
GNPS/MassIVE	204.1012	4
GNPS/MassIVE	204.102	3
GNPS/MassIVE	204.1022	5
GNPS/MassIVE	204.1023	3
GNPS/MassIVE	204.1024	1
